30000  0.0000  0  -nan  -nan  -nan
60000  0.0000  0  -nan  -nan  -nan
90000  0.0000  0  -nan  -nan  -nan
120000  0.0000  0  -nan  -nan  -nan
150000  0.4000  1  4.0000  38.6018  0.1930
180000  0.4000  1  4.0000  43.8343  0.2192
210000  0.4000  1  4.0000  34.2209  0.1711
240000  0.4000  1  4.0000  45.9299  0.2296
270000  0.3000  1  3.0000  40.1166  0.2006
300000  0.5000  1  5.0000  75.7673  0.3788
330000  0.0000  0  -nan  -nan  -nan
360000  0.5000  1  5.0000  71.7503  0.3588
390000  0.0000  0  -nan  -nan  -nan
420000  0.5000  1  5.0000  69.6691  0.3483
450000  0.5000  1  5.0000  92.0102  0.4601
480000  0.5000  1  5.0000  69.1634  0.3458
510000  0.0000  0  -nan  -nan  -nan
540000  0.5000  1  5.0000  72.1539  0.3608
570000  0.3000  1  3.0000  42.7655  0.2138
600000  0.5000  1  5.0000  66.2862  0.3314
