 0  0  6.00    61.15   0.020   0.000   0.096     4.0525   737.3220    36.4060   0.012523   0.000005   0.000007
 0  0  6.00 -1119.12   0.020    -nan   0.033    68.1951   -28.4371     2.3917   0.012618   0.000001  -0.000002
 0  0  6.00   238.19   0.020   0.000   0.029    21.4321  -132.4504    13.8833   0.012397  -0.000003  -0.000003
 0  0  6.00  -452.03   0.020    -nan   0.186    25.7767   -81.3658     2.5609   0.012200  -0.000019  -0.000020
 0  0  6.00  4819.83   0.020   0.939   0.060    91.1440    -0.0061     0.4104   0.012510   0.000008  -0.000004
 0  0  6.00   -81.50   0.020    -nan   0.107     5.8874  -170.1985    21.3119   0.012452  -0.000015  -0.000015
 0  0  6.00   487.95   0.020   0.874   0.020    66.9969    -6.9567     8.1653   0.012057  -0.000004  -0.000004
 0  0  6.00   188.85   0.020   0.000   0.079    15.5048   -33.9552    -9.5167   0.012494  -0.000003  -0.000001
 0  0  6.00   445.23   0.020   0.000   0.026    44.8064    12.4755     7.8260   0.012425  -0.000001  -0.000002
 0  0  6.00   119.04   0.020   0.000   0.022    13.1123   -36.2635    30.7130   0.012302   0.000002  -0.000003
 0  0  6.00   824.71   0.020   0.701   0.027    59.8791    46.2370     2.9532  -0.007449  -0.000006   0.000000
 0  0  6.00  -325.71   0.020    -nan   0.005    24.5988   -78.7944     8.5181  -0.007492  -0.000002   0.000000
 0  0  6.00   615.08   0.020   0.865   0.009    76.7664   -35.6524     5.5307  -0.007354   0.000000   0.000001
 0  0  6.00 -1254.80   0.020    -nan   0.041    80.6413   -23.1968     1.6899  -0.007335  -0.000003  -0.000007
 0  0  6.00  1846.28   0.020   0.840   0.011    47.1722     0.0137     1.2873  -0.007469  -0.000003   0.000001
 0  0  6.00  -836.21   0.020    -nan   0.015    61.4760   -15.0606     2.3130  -0.007409   0.000001   0.000000
 0  0  6.00   108.92   0.020   0.000   0.001    20.8542   -21.9463    36.5014  -0.007154   0.000002   0.000002
 0  0  6.00   687.45   0.020   0.000   0.015    71.3402    -7.1589    -2.7732  -0.007429   0.000005  -0.000001
 0  0  6.00   712.97   0.020   0.918   0.003   100.2785     5.3784     4.8942  -0.007368  -0.000000   0.000001
 0  0  6.00   426.31   0.020   0.911   0.004    67.9888    -7.5218     8.5745  -0.007295  -0.000000   0.000002
 0  0  6.00  2250.46   0.020   0.875   0.044    92.2064    27.2851     0.5304  -0.007840  -0.000006   0.000004
 0  0  6.00 -1785.90   0.020    -nan   0.088    56.0773   -33.8984     0.8801  -0.007816   0.000004  -0.000007
 0  0  6.00   381.26   0.020   0.532   0.070    11.6501  -241.0637     0.9261  -0.007599   0.000010   0.000013
 0  0  6.00  -312.01   0.020    -nan   0.093    16.0407   -90.8955    -6.8988  -0.007826   0.000003   0.000003
 0  0  6.00  4247.07   0.020   0.000   0.041    80.0896     0.0016    -0.4629  -0.007920   0.000005  -0.000004
 0  0  6.00 -2266.67   0.020    -nan   0.103    95.1260    -7.5023     0.1474  -0.007777   0.000005  -0.000012
 0  0  6.00  2841.20   0.020   0.898   0.078    59.6134    -8.2896     0.8274  -0.007403   0.000011  -0.000014
 0  0  6.00   109.42   0.020   0.000   0.112     4.5780  -111.9008    -6.8874  -0.007724   0.000013  -0.000001
 0  0  6.00  1571.18   0.020   0.908   0.036    33.9284    16.4656     1.5856  -0.007727  -0.000004  -0.000008
 0  0  6.00   166.98   0.020   0.000   0.029     3.3254  -126.0272    14.0760  -0.007633   0.000001  -0.000017
 0  0  6.00   928.71   0.020   0.227   0.044    39.9314    58.9766     1.8285   0.012245   0.000002   0.000011
 0  0  6.00   -97.74   0.020    -nan   0.118     3.8683  -455.2986    23.7768   0.012277  -0.000011  -0.000003
 0  0  6.00  1270.47   0.020   0.853   0.145    58.1987   -43.6382     2.2192   0.012036  -0.000009   0.000001
 0  0  6.00 -1648.58   0.020    -nan   0.056    63.2548   -21.7695    -0.5576   0.012066   0.000001  -0.000003
 0  0  6.00  1961.00   0.020   0.938   0.042    27.6948    -0.0586     0.0344   0.012130  -0.000001   0.000003
 0  0  6.00 -1062.98   0.020    -nan   0.187    42.3344   -14.4705     1.1070   0.012100  -0.000022   0.000004
 0  0  6.00    81.19   0.020   0.000   0.041     5.3738   -88.0727    48.5621   0.011775  -0.000003  -0.000009
 0  0  6.00  1083.31   0.020   0.000   0.060    51.6506    -8.1989    -1.3618   0.012187  -0.000004  -0.000000
 0  0  6.00  1571.46   0.020   0.921   0.047    81.1332     6.7497     2.1737   0.012159   0.000000  -0.000002
 0  0  6.00   917.60   0.020   0.842   0.059    50.0037    -8.0739     3.9286   0.012043   0.000001  -0.000002
 0  0  6.00  1180.82   0.020   0.959   0.003    78.2029    28.7602     2.1455   0.000321   0.000001  -0.000000
 0  0  6.00  -582.49   0.020    -nan   0.001    42.8377   -37.2987     4.8584   0.000324   0.000000  -0.000000
 0  0  6.00   717.51   0.020   0.884   0.001    94.8468   -24.4937     4.7958   0.000316   0.000000  -0.000000
 1  1  6.00 -1820.08   0.020    -nan   0.002    99.3146   -10.3798     1.4738   0.000319   0.000000  -0.000000
 0  0  6.00  2487.60   0.020   0.886   0.002    65.4278     0.0259     0.9721   0.000322   0.000000  -0.000001
 1  1  6.00 -1597.67   0.020    -nan   0.002    79.9747    -6.0655     1.4009   0.000321  -0.000000  -0.000001
 0  0  6.00   186.53   0.020   0.000   0.000    38.0871   -11.0381    21.4293   0.000306  -0.000000  -0.000000
 1  1  6.00   874.83   0.020   0.000   0.002    89.7042    -4.5360    -2.2298   0.000321  -0.000000   0.000000
 0  0  6.00   117.89   0.020   0.430   0.001    18.1280    28.9169    29.8433   0.000316   0.000000  -0.000000
 1  1  6.00   491.62   0.020   0.902   0.001    85.5894    -5.8654     7.4959   0.000313   0.000000  -0.000000
 0  0  6.00  1147.47   0.020   0.460   0.053    44.8161    48.1944     1.3637  -0.012418  -0.000003  -0.000009
 0  0  6.00  -244.93   0.020    -nan   0.065     8.6620  -183.0456     9.1386  -0.012450   0.000013   0.000005
 0  0  6.00  1377.83   0.020   0.865   0.096    62.9845   -38.8729     2.0573  -0.012221   0.000012  -0.000000
 1  1  6.00 -2372.51   0.020    -nan   0.056    67.9236   -12.3774    -0.6847  -0.012297  -0.000003   0.000005
 0  0  6.00  2106.34   0.020   0.000   0.059    32.7669     0.0609    -0.6347  -0.012371   0.000007  -0.000001
 1  1  6.00 -1756.94   0.020    -nan   0.192    47.3245    -8.5465     0.2654  -0.012247   0.000031  -0.000008
 0  0  6.00   153.87   0.020   0.000   0.008     9.9529   -44.5742    25.5048  -0.011953   0.000004   0.000010
 1  1  6.00  1187.55   0.020   0.000   0.018    56.4490    -7.3691    -1.2707  -0.012383   0.000003   0.000001
 0  0  6.00  1610.20   0.020   0.923   0.016    85.9633     6.2467     2.1201  -0.012345  -0.000001   0.000004
 1  1  6.00   980.52   0.020   0.853   0.017    54.7858    -7.1705     3.6701  -0.012224  -0.000001   0.000002
 0  0  6.00  2945.56   0.020   0.909   0.077    89.7233    21.2693     0.2498   0.007277   0.000011  -0.000010
 0  0  6.00 -2340.73   0.020    -nan   0.072    53.6253   -27.1289     0.3163   0.007254  -0.000011   0.000011
 0  0  6.00   348.51   0.020   0.000   0.112     9.2045  -247.7726    -1.6645   0.007089  -0.000017  -0.000011
 0  0  6.00  -279.31   0.020    -nan   0.031    12.7155   -63.7272    -9.6053   0.007385  -0.000003  -0.000001
 1  1  6.00  3773.49   0.020   0.000   0.016    77.2957    -0.0014    -0.5521   0.007413  -0.000004   0.000001
 1  1  6.00 -3764.62   0.020    -nan   0.035    92.6087    -3.7035    -0.2255   0.007296  -0.000007   0.000001
 0  0  6.00  3471.34   0.020   0.960   0.048    57.2781    -7.8095     0.0227   0.006844  -0.000014   0.000019
 1  1  6.00  3386.24   0.020   0.000   0.109   101.8170    -3.6167    -0.0861   0.007193  -0.000015  -0.000008
 0  0  6.00  1811.91   0.020   0.897   0.055    31.3585    17.1054     0.9875   0.007129   0.000001   0.000017
 1  1  6.00  6598.94   0.020   0.970   0.046   100.7620    -3.7038     0.1755   0.007039  -0.000001   0.000021
 0  0  6.00  1115.77   0.020   0.941   0.044    56.6893    30.5037     2.2290   0.007947   0.000004   0.000003
