20000  0.0000  0  -nan  -nan  -nan
40000  0.0000  0  -nan  -nan  -nan
2520000  0.9800  4  12.2500  170.9881  0.1710
2540000  0.9800  4  12.2500  171.1752  0.1712
2560000  0.9800  4  12.2500  171.2074  0.1712
2580000  0.9800  4  12.2500  170.7824  0.1708
2600000  0.9800  4  12.2500  171.3514  0.1714
2620000  0.9800  4  12.2500  170.6510  0.1707
2640000  0.9800  4  12.2500  170.8241  0.1708
2660000  0.9800  4  12.2500  170.8552  0.1709
2680000  0.9800  4  12.2500  170.4529  0.1705
2700000  0.9800  4  12.2500  171.0327  0.1710
2720000  0.9800  4  12.2500  170.3287  0.1703
2740000  0.9800  4  12.2500  170.5017  0.1705
2760000  0.9800  4  12.2500  170.5367  0.1705
2780000  0.9800  4  12.2500  170.1257  0.1701
2800000  0.9800  4  12.2500  170.7115  0.1707
2820000  0.9800  4  12.2500  170.0102  0.1700
2840000  0.9800  4  12.2500  170.1990  0.1702
2860000  0.9800  4  12.2500  170.2384  0.1702
2880000  0.9800  4  12.2500  169.8298  0.1698
2900000  0.9800  4  12.2500  170.4146  0.1704
2920000  0.9800  4  12.2500  169.7206  0.1697
2940000  0.9800  4  12.2500  169.9374  0.1699
2960000  0.9800  4  12.2500  169.9821  0.1700
2980000  0.9800  4  12.2500  169.5607  0.1696
3000000  0.9800  4  12.2500  170.1415  0.1701
3020000  0.9800  4  12.2500  169.4557  0.1695
3040000  0.9800  4  12.2500  169.6848  0.1697
3060000  0.9800  4  12.2500  169.7323  0.1697
3080000  0.9800  4  12.2500  169.2981  0.1693
3100000  0.9800  4  12.2500  169.8744  0.1699
3120000  0.9800  4  12.2500  169.1951  0.1692
3140000  0.9800  4  12.2500  169.4228  0.1694
3160000  0.9800  4  12.2500  169.4725  0.1695
3180000  0.9800  4  12.2500  169.0249  0.1690
3200000  0.9800  4  12.2500  169.5998  0.1696
3220000  0.9800  4  12.2500  168.9238  0.1689
3240000  0.9800  4  12.2500  169.1595  0.1692
3260000  0.9800  4  12.2500  169.2103  0.1692
3280000  0.9800  4  12.2500  168.7593  0.1688
3300000  0.9800  4  12.2500  169.3297  0.1693
3320000  0.9800  4  12.2500  168.6598  0.1687
3340000  0.9800  4  12.2500  168.9133  0.1689
3360000  0.9800  4  12.2500  168.9650  0.1690
3380000  0.9800  4  12.2500  168.5256  0.1685
3400000  0.9800  4  12.2500  169.0996  0.1691
3420000  0.9800  4  12.2500  168.4284  0.1684
3440000  0.9800  4  12.2500  168.6827  0.1687
3460000  0.9800  4  12.2500  168.7333  0.1687
3480000  0.9800  4  12.2500  168.3055  0.1683
3500000  0.9800  4  12.2500  168.8872  0.1689
3520000  0.9800  4  12.2500  168.2145  0.1682
3540000  0.9800  4  12.2500  168.4503  0.1685
3560000  0.9800  4  12.2500  168.5016  0.1685
3580000  0.9800  4  12.2500  168.0926  0.1681
3600000  0.9800  4  12.2500  168.6818  0.1687
3620000  0.9800  4  12.2500  168.0080  0.1680
3640000  0.9800  4  12.2500  168.2337  0.1682
3660000  0.9800  4  12.2500  168.2831  0.1683
3680000  0.9800  4  12.2500  167.8863  0.1679
3700000  0.9800  4  12.2500  168.4827  0.1685
3720000  0.9800  4  12.2500  167.8107  0.1678
3740000  0.9800  4  12.2500  168.0446  0.1680
3760000  0.9800  4  12.2500  168.0970  0.1681
3780000  0.9800  4  12.2500  167.7125  0.1677
3800000  0.9800  4  12.2500  168.3125  0.1683
3820000  0.9800  4  12.2500  167.6443  0.1676
3840000  0.9800  4  12.2500  167.8930  0.1679
3860000  0.9800  4  12.2500  167.9490  0.1679
3880000  0.9800  4  12.2500  167.5663  0.1676
3900000  0.9800  4  12.2500  168.1693  0.1682
3920000  0.9800  4  12.2500  167.5052  0.1675
3940000  0.9800  4  12.2500  167.7673  0.1678
3960000  0.9800  4  12.2500  167.8252  0.1678
3980000  0.9800  4  12.2500  167.4392  0.1674
4000000  0.9800  4  12.2500  168.0420  0.1680
