10000  0.0145  4.2501
20000  0.0150  4.3939
30000  0.0144  4.2452
40000  0.0148  4.3358
50000  0.0148  4.3499
60000  0.0145  4.2619
70000  0.0145  4.2546
80000  0.0135  3.9657
90000  0.0132  3.8648
100000  0.0132  3.8777
110000  0.0134  3.9483
120000  0.0125  3.6629
130000  0.0129  3.8020
140000  0.0139  4.0739
150000  0.0138  4.0530
160000  0.0133  3.9012
170000  0.0134  3.9320
180000  0.0134  3.9297
190000  0.0133  3.9060
200000  0.0132  3.8741
210000  0.0135  3.9636
220000  0.0130  3.8188
230000  0.0129  3.7787
240000  0.0133  3.9053
250000  0.0138  4.0526
260000  0.0138  4.0555
270000  0.0138  4.0416
280000  0.0138  4.0679
290000  0.0139  4.0760
300000  0.0140  4.1018
310000  0.0142  4.1580
320000  0.0143  4.2077
330000  0.0139  4.0759
340000  0.0142  4.1635
350000  0.0142  4.1606
360000  0.0142  4.1712
370000  0.0138  4.0649
380000  0.0139  4.0794
390000  0.0144  4.2335
400000  0.0143  4.2128
