10000  0.1497
20000  0.1850
30000  0.1963
40000  0.1907
50000  0.2090
60000  0.2260
70000  0.2655
80000  0.2910
90000  0.3475
100000  0.3686
110000  0.3715
120000  0.3912
130000  0.4096
140000  0.4294
150000  0.4718
160000  0.4958
170000  0.5127
180000  0.5254
190000  0.5508
200000  0.5593
210000  0.5975
220000  0.6285
230000  0.6610
240000  0.6667
250000  0.6822
260000  0.6850
270000  0.7034
280000  0.7175
290000  0.7429
300000  0.7542
310000  0.7768
320000  0.7895
330000  0.7980
340000  0.7895
350000  0.7910
360000  0.7910
370000  0.7881
380000  0.7910
390000  0.7980
400000  0.8150
410000  0.8319
420000  0.8333
430000  0.8347
440000  0.8390
450000  0.8404
460000  0.8531
470000  0.8616
480000  0.8672
490000  0.8757
500000  0.8799
510000  0.8799
520000  0.8814
530000  0.8785
540000  0.8715
550000  0.8715
560000  0.8757
570000  0.8686
580000  0.8672
590000  0.8715
600000  0.8856
610000  0.8814
620000  0.8799
630000  0.8856
640000  0.8927
650000  0.8941
660000  0.9011
670000  0.9040
680000  0.9082
690000  0.9167
700000  0.9167
710000  0.9237
720000  0.9209
730000  0.9237
740000  0.9294
750000  0.9280
760000  0.9251
770000  0.9266
780000  0.9322
790000  0.9393
800000  0.9407
810000  0.9407
820000  0.9435
830000  0.9379
840000  0.9435
850000  0.9449
860000  0.9477
870000  0.9421
880000  0.9492
890000  0.9506
900000  0.9506
910000  0.9477
920000  0.9548
930000  0.9548
940000  0.9576
950000  0.9590
960000  0.9633
970000  0.9562
980000  0.9534
990000  0.9506
1000000  0.9562
1010000  0.9548
1020000  0.9590
1030000  0.9605
1040000  0.9633
1050000  0.9605
1060000  0.9633
1070000  0.9562
1080000  0.9590
1090000  0.9590
1100000  0.9576
1110000  0.9605
1120000  0.9647
1130000  0.9647
1140000  0.9661
1150000  0.9619
1160000  0.9619
1170000  0.9590
1180000  0.9633
1190000  0.9647
1200000  0.9647
1210000  0.9661
1220000  0.9661
1230000  0.9675
1240000  0.9675
1250000  0.9703
1260000  0.9703
1270000  0.9689
1280000  0.9689
1290000  0.9689
1300000  0.9675
1310000  0.9675
1320000  0.9746
1330000  0.9746
1340000  0.9746
1350000  0.9774
1360000  0.9774
1370000  0.9746
1380000  0.9760
1390000  0.9788
1400000  0.9746
1410000  0.9760
1420000  0.9760
1430000  0.9760
1440000  0.9732
1450000  0.9746
1460000  0.9732
1470000  0.9746
1480000  0.9774
1490000  0.9774
1500000  0.9788
1510000  0.9788
1520000  0.9788
1530000  0.9802
1540000  0.9831
1550000  0.9831
1560000  0.9831
1570000  0.9831
1580000  0.9845
1590000  0.9845
1600000  0.9859
1610000  0.9845
1620000  0.9873
1630000  0.9901
1640000  0.9915
1650000  0.9901
1660000  0.9901
1670000  0.9915
1680000  0.9901
1690000  0.9901
1700000  0.9929
1710000  0.9929
1720000  0.9915
1730000  0.9901
1740000  0.9901
1750000  0.9901
1760000  0.9901
1770000  0.9901
1780000  0.9887
1790000  0.9887
1800000  0.9901
1810000  0.9915
1820000  0.9915
1830000  0.9915
1840000  0.9901
1850000  0.9944
1860000  0.9944
1870000  0.9944
1880000  0.9929
1890000  0.9915
1900000  0.9915
1910000  0.9915
1920000  0.9915
1930000  0.9901
1940000  0.9887
1950000  0.9901
1960000  0.9915
1970000  0.9915
1980000  0.9929
1990000  0.9929
2000000  0.9915
