80000  0.0000  0  -nan  -nan  -nan
160000  0.1800  3  3.0000  32.2223  0.0322
240000  0.3800  5  3.8000  50.1393  0.0501
320000  0.5000  4  6.2500  93.5687  0.0936
400000  0.5400  5  5.4000  80.5462  0.0805
480000  0.4800  4  6.0000  94.6020  0.0946
560000  0.4200  4  5.2500  76.9835  0.0770
640000  0.4400  5  4.4000  64.2364  0.0642
720000  0.4800  7  3.4286  44.8567  0.0449
800000  0.3800  4  4.7500  71.6501  0.0717
880000  0.4200  5  4.2000  61.6423  0.0616
960000  0.3200  4  4.0000  56.4626  0.0565
1040000  0.4200  6  3.5000  46.9148  0.0469
1120000  0.4400  5  4.4000  63.5825  0.0636
1200000  0.5000  6  4.1667  59.1347  0.0591
1280000  0.4600  6  3.8333  51.9325  0.0519
1360000  0.4400  5  4.4000  63.1877  0.0632
1440000  0.5400  7  3.8571  53.4576  0.0535
1520000  0.4400  5  4.4000  64.5883  0.0646
1600000  0.5200  6  4.3333  64.5382  0.0645
