1500  5.6479  3.9586
3000  5.3773  4.3173
4500  5.0514  4.8241
6000  4.7403  4.6299
7500  4.5622  4.3914
9000  4.7374  4.2396
10500  5.3753  4.5619
12000  5.5544  4.9529
13500  5.7825  5.0429
15000  5.7873  5.1481
16500  5.6088  5.0420
18000  5.6008  5.0324
19500  5.9781  4.8890
21000  5.6106  4.7993
22500  5.2028  4.7255
24000  5.2079  4.5515
25500  5.5356  4.3880
27000  5.8807  4.1840
28500  6.1130  4.2035
30000  6.1456  4.4988
31500  6.0593  4.2150
33000  6.0491  4.5816
34500  5.7220  4.9512
36000  5.2042  5.0184
37500  4.9296  5.1612
39000  5.0930  4.9242
40500  5.4441  5.0756
42000  5.6490  5.3001
43500  5.8269  5.3329
45000  5.5375  5.2357
46500  4.9681  5.0510
48000  4.6993  5.0157
49500  4.8404  5.0888
51000  5.1973  4.9077
52500  5.4188  4.8662
54000  5.6903  4.6084
55500  5.8443  4.4036
57000  5.8386  4.4611
58500  5.8814  3.9692
60000  5.6626  3.9785
61500  5.3996  4.3449
63000  4.7171  4.5299
64500  4.4693  4.4036
66000  4.6469  4.3191
67500  4.8917  4.4441
69000  4.9796  4.5181
70500  4.9376  4.4388
72000  4.6873  4.7178
73500  4.1853  4.9727
75000  3.8092  4.7572
76500  3.9293  4.6344
78000  4.2724  4.2103
79500  4.6204  4.0152
81000  4.8407  4.3908
82500  4.8478  4.5636
84000  4.9174  4.5184
85500  5.2973  4.5633
87000  5.6457  4.3993
88500  5.6149  4.2573
90000  5.7003  4.3260
91500  5.7352  4.1742
93000  5.8467  3.7899
94500  5.4616  3.8064
96000  5.1289  4.0053
97500  5.0144  4.2459
99000  5.0659  3.7864
100500  5.0597  3.3724
102000  5.2401  3.5571
103500  5.5762  4.3482
105000  5.4156  4.7751
106500  5.1070  4.9545
108000  4.9140  4.6761
109500  4.9147  4.5763
111000  5.2276  4.2290
112500  5.8007  3.9145
114000  5.1670  3.8681
115500  4.3206  4.3184
117000  4.1353  4.3155
118500  4.5421  3.7903
120000  5.0289  3.3865
121500  5.3274  3.3262
123000  5.4576  4.0539
124500  5.4436  4.0606
126000  5.4161  4.0770
127500  5.2269  4.0530
129000  5.2716  4.2621
130500  5.5509  4.3999
132000  5.5125  4.6090
133500  5.3210  4.7389
135000  5.1649  4.8688
136500  5.2601  4.7683
138000  5.4820  4.4579
139500  5.2327  4.0428
141000  5.2469  3.8862
142500  5.2942  4.0562
144000  5.2899  4.5864
145500  5.2845  4.5363
147000  5.2237  4.3975
148500  5.1379  4.4795
150000  5.2125  4.4375
151500  5.4696  4.2417
153000  5.7308  4.3892
154500  5.8247  4.6333
156000  5.7173  4.5569
157500  5.5852  4.8719
159000  5.5940  4.8680
160500  5.5024  4.3802
162000  5.5270  4.0233
163500  5.5272  4.3597
165000  5.7283  4.2445
166500  5.6732  4.1408
168000  5.6423  4.5245
169500  5.6246  4.4743
171000  5.5811  4.4131
172500  5.5529  4.6732
174000  5.4492  4.7959
175500  5.2060  4.8749
177000  4.6778  4.8656
178500  4.5998  4.6966
180000  4.8169  4.6333
181500  5.0107  5.0733
183000  5.1251  4.9977
184500  5.2346  4.7998
186000  5.3015  4.7168
187500  5.4254  4.9189
189000  5.6231  5.0057
190500  5.3532  4.7509
192000  5.0373  4.5725
193500  5.0497  4.2075
195000  5.2366  4.0964
196500  5.0824  3.8626
198000  4.6695  4.2340
199500  4.5124  4.7865
201000  4.6602  5.1711
202500  4.5038  5.3288
204000  4.3223  4.9644
205500  4.2083  4.7940
207000  4.1739  4.1842
208500  4.3512  3.9691
210000  4.6613  4.2955
211500  4.6202  4.8646
213000  4.6499  4.9961
214500  4.7470  4.8837
216000  4.7100  4.9026
217500  4.5921  4.9352
219000  4.5539  4.8874
220500  4.7969  4.6096
222000  5.0302  4.0876
223500  5.2234  3.7947
225000  5.3462  3.7467
226500  5.1540  3.7595
228000  4.9510  4.1206
229500  4.8826  4.5149
231000  4.9106  4.5049
232500  4.9575  4.4149
234000  5.0011  4.2518
235500  5.1020  4.3778
237000  5.1807  4.4097
238500  5.3621  3.8912
240000  5.6814  3.5988
241500  5.3058  3.8135
243000  4.8130  4.2724
244500  4.8068  4.7499
246000  5.0047  4.6218
247500  5.2022  4.6343
249000  5.0086  4.6739
250500  5.1202  4.7867
252000  5.4652  4.7549
253500  5.7734  4.3792
255000  5.7768  4.1495
256500  5.7629  4.4317
258000  5.7639  4.8841
259500  5.6637  4.9665
261000  5.2650  4.7993
262500  4.6749  4.6349
264000  4.2597  4.3950
265500  4.1627  4.4053
267000  4.3572  4.5520
268500  4.7631  4.1887
270000  5.1711  4.2344
271500  5.3167  4.4600
273000  5.1269  4.8216
274500  5.1870  4.6175
276000  5.4094  4.5732
277500  5.2804  4.4986
279000  5.1379  4.5393
280500  5.1526  4.5981
282000  5.0828  4.5345
283500  4.9817  4.5473
285000  4.8461  4.0126
286500  4.7111  3.5831
288000  4.9236  3.2828
289500  5.3101  3.6257
291000  5.2926  4.2129
292500  5.1916  4.3666
294000  5.2624  4.5273
295500  5.4557  4.6342
297000  5.1832  4.4844
298500  4.8221  4.4197
300000  4.6154  4.0976
