10000  0.0000  0  -nan  -nan  -nan
20000  0.0000  0  -nan  -nan  -nan
30000  0.0000  0  -nan  -nan  -nan
40000  0.0800  1  4.0000  56.3559  0.0564
50000  0.0600  1  3.0000  35.8721  0.0359
60000  0.0800  1  4.0000  56.2446  0.0562
70000  0.0600  1  3.0000  34.1190  0.0341
80000  0.1200  2  3.0000  29.9505  0.0300
90000  0.2400  4  3.0000  31.7192  0.0317
100000  0.2400  4  3.0000  31.6986  0.0317
110000  0.2400  4  3.0000  31.5401  0.0315
120000  0.2400  4  3.0000  31.0216  0.0310
130000  0.3000  5  3.0000  31.9768  0.0320
140000  0.4200  5  4.2000  51.1934  0.0512
150000  0.4400  5  4.4000  54.4574  0.0545
160000  0.4400  5  4.4000  54.2689  0.0543
170000  0.4400  5  4.4000  53.7164  0.0537
180000  0.4400  4  5.5000  70.7879  0.0708
190000  0.4400  4  5.5000  70.8353  0.0708
200000  0.5000  5  5.0000  63.9535  0.0640
210000  0.4400  4  5.5000  70.8039  0.0708
220000  0.5000  5  5.0000  62.8351  0.0628
230000  0.6800  7  4.8571  60.7918  0.0608
240000  0.6800  7  4.8571  60.3940  0.0604
250000  0.7200  6  6.0000  79.9228  0.0799
260000  0.7200  6  6.0000  79.7004  0.0797
270000  0.7200  7  5.1429  64.9327  0.0649
280000  0.7200  7  5.1429  64.9318  0.0649
290000  0.8200  8  5.1250  65.2085  0.0652
300000  0.8000  8  5.0000  63.1043  0.0631
310000  0.8000  8  5.0000  62.8987  0.0629
320000  0.7600  6  6.3333  83.4613  0.0835
330000  0.7600  6  6.3333  83.3500  0.0834
340000  0.7600  6  6.3333  83.4560  0.0835
350000  0.7600  6  6.3333  83.6581  0.0837
360000  0.7600  6  6.3333  83.3812  0.0834
370000  0.8200  7  5.8571  75.6593  0.0757
380000  0.8600  7  6.1429  80.3613  0.0804
390000  0.8600  8  5.3750  67.7439  0.0677
400000  0.8400  8  5.2500  65.6503  0.0657
410000  0.8600  8  5.3750  67.7075  0.0677
420000  0.8600  8  5.3750  67.3476  0.0673
430000  0.8600  8  5.3750  67.4625  0.0675
440000  0.8800  8  5.5000  70.3184  0.0703
450000  0.8800  8  5.5000  70.5184  0.0705
460000  0.8800  8  5.5000  70.2701  0.0703
470000  0.8600  8  5.3750  67.1795  0.0672
480000  0.8600  8  5.3750  67.1256  0.0671
490000  0.8600  8  5.3750  67.2037  0.0672
500000  0.8600  8  5.3750  67.3734  0.0674
510000  0.8600  8  5.3750  67.1949  0.0672
520000  0.8800  7  6.2857  80.6386  0.0806
530000  0.9000  7  6.4286  82.8504  0.0829
540000  0.9000  7  6.4286  82.8992  0.0829
550000  0.8800  7  6.2857  80.9109  0.0809
560000  0.8800  7  6.2857  80.6514  0.0807
570000  0.8800  7  6.2857  80.0920  0.0801
580000  0.9000  7  6.4286  81.9200  0.0819
590000  0.9000  6  7.5000  97.8231  0.0978
600000  0.9000  6  7.5000  98.0222  0.0980
610000  0.9000  6  7.5000  97.7832  0.0978
620000  0.9200  6  7.6667  99.7834  0.0998
630000  0.9200  6  7.6667  99.7533  0.0998
640000  0.9200  6  7.6667  99.8985  0.0999
650000  0.9200  6  7.6667  100.1124  0.1001
660000  0.9200  6  7.6667  99.8329  0.0998
670000  0.9200  6  7.6667  99.2623  0.0993
680000  0.9400  6  7.8333  101.6667  0.1017
690000  0.9400  6  7.8333  101.8115  0.1018
700000  0.9400  6  7.8333  102.0434  0.1020
710000  0.9400  6  7.8333  101.8142  0.1018
720000  0.9400  5  9.4000  124.5406  0.1245
730000  0.9400  5  9.4000  124.6392  0.1246
740000  0.9400  5  9.4000  124.9041  0.1249
750000  0.9400  5  9.4000  125.1803  0.1252
760000  0.9400  5  9.4000  124.8907  0.1249
770000  0.9400  5  9.4000  124.4069  0.1244
780000  0.9400  5  9.4000  124.5617  0.1246
790000  0.9400  5  9.4000  124.8771  0.1249
800000  0.9400  5  9.4000  125.1831  0.1252
810000  0.9400  5  9.4000  124.9072  0.1249
820000  0.9400  5  9.4000  124.4388  0.1244
830000  0.9400  5  9.4000  124.6026  0.1246
840000  0.9400  5  9.4000  124.8975  0.1249
850000  0.9400  5  9.4000  125.1752  0.1252
860000  0.9400  5  9.4000  124.8912  0.1249
870000  0.9400  5  9.4000  124.4489  0.1244
