20000  0.0000  0  -nan  -nan  -nan
40000  0.0000  0  -nan  -nan  -nan
60000  0.0000  0  -nan  -nan  -nan
80000  0.0000  0  -nan  -nan  -nan
100000  0.0462  1  3.0000  31.4120  0.0314
120000  0.0462  1  3.0000  31.0672  0.0311
140000  0.0462  1  3.0000  30.4870  0.0305
160000  0.0923  2  3.0000  31.4331  0.0314
180000  0.0923  2  3.0000  31.0246  0.0310
200000  0.0923  2  3.0000  30.9053  0.0309
220000  0.2000  4  3.2500  38.3770  0.0384
240000  0.1692  3  3.6667  43.6042  0.0436
260000  0.2154  4  3.5000  41.8031  0.0418
280000  0.2769  5  3.6000  42.5116  0.0425
300000  0.3077  6  3.3333  38.7178  0.0387
320000  0.3385  6  3.6667  43.8643  0.0439
340000  0.3692  7  3.4286  39.9253  0.0399
360000  0.3692  7  3.4286  39.7349  0.0397
380000  0.4308  8  3.5000  41.2782  0.0413
400000  0.4308  8  3.5000  41.0548  0.0411
420000  0.5077  9  3.6667  43.8002  0.0438
440000  0.4615  8  3.7500  44.2722  0.0443
460000  0.4769  8  3.8750  46.1579  0.0462
480000  0.5077  8  4.1250  49.8518  0.0499
500000  0.5692  9  4.1111  49.5987  0.0496
520000  0.5692  8  4.6250  56.9172  0.0569
540000  0.5846  8  4.7500  59.0674  0.0591
560000  0.5846  8  4.7500  58.9070  0.0589
580000  0.6462  8  5.2500  66.7398  0.0667
600000  0.6769  8  5.5000  70.3819  0.0704
620000  0.6923  8  5.6250  70.4292  0.0704
640000  0.6923  8  5.6250  70.3098  0.0703
660000  0.6923  8  5.6250  70.1810  0.0702
680000  0.7231  8  5.8750  74.0807  0.0741
700000  0.7385  7  6.8571  87.8314  0.0878
720000  0.7692  7  7.1429  91.9380  0.0919
740000  0.7692  7  7.1429  91.2623  0.0913
760000  0.7692  7  7.1429  91.0685  0.0911
780000  0.7846  7  7.2857  93.7720  0.0938
800000  0.8308  8  6.7500  83.9055  0.0839
820000  0.8615  8  7.0000  88.5718  0.0886
840000  0.8615  8  7.0000  87.6769  0.0877
860000  0.8769  8  7.1250  90.2130  0.0902
880000  0.8769  7  8.1429  104.8918  0.1049
900000  0.8615  5  11.2000  148.4544  0.1485
920000  0.8769  5  11.4000  152.0817  0.1521
940000  0.8615  5  11.2000  147.9214  0.1479
960000  0.8615  5  11.2000  147.8834  0.1479
980000  0.8769  5  11.4000  151.9891  0.1520
1000000  0.8615  5  11.2000  147.9978  0.1480
1020000  0.8769  4  14.2500  193.0712  0.1931
1040000  0.8615  5  11.2000  145.8415  0.1458
1060000  0.8615  5  11.2000  145.7936  0.1458
1080000  0.8769  5  11.4000  149.4950  0.1495
1100000  0.8769  5  11.4000  149.2056  0.1492
1120000  0.8769  5  11.4000  148.8815  0.1489
1140000  0.8923  5  11.6000  151.0492  0.1510
1160000  0.8923  5  11.6000  150.9656  0.1510
1180000  0.8923  4  14.5000  191.8878  0.1919
1200000  0.8923  4  14.5000  191.5477  0.1915
