15000  0.2429  11  3.0909  35.7050  0.0357
30000  0.2929  13  3.1538  36.6441  0.0366
45000  0.2071  9  3.2222  37.0933  0.0371
60000  0.2071  9  3.2222  37.1024  0.0371
75000  0.2929  13  3.1538  36.7461  0.0367
90000  0.3714  15  3.4667  43.5656  0.0436
105000  0.3714  15  3.4667  43.7331  0.0437
120000  0.3929  16  3.4375  42.6652  0.0427
135000  0.3929  16  3.4375  42.1936  0.0422
150000  0.3357  13  3.6154  44.7417  0.0447
165000  0.3929  16  3.4375  42.0411  0.0420
180000  0.4357  17  3.5882  44.3734  0.0444
195000  0.4429  18  3.4444  41.7017  0.0417
210000  0.4643  18  3.6111  44.4898  0.0445
225000  0.4857  18  3.7778  47.0312  0.0470
240000  0.4571  16  4.0000  51.1681  0.0512
255000  0.4571  16  4.0000  51.2147  0.0512
270000  0.4929  17  4.0588  51.8079  0.0518
285000  0.4929  18  3.8333  47.4057  0.0474
300000  0.4786  18  3.7222  45.1118  0.0451
315000  0.5071  19  3.7368  45.3309  0.0453
330000  0.5214  19  3.8421  47.1920  0.0472
345000  0.4786  17  3.9412  48.8723  0.0489
360000  0.5000  18  3.8889  47.9728  0.0480
375000  0.4786  17  3.9412  48.4035  0.0484
390000  0.5429  19  4.0000  49.4679  0.0495
405000  0.5357  19  3.9474  48.4763  0.0485
420000  0.5786  20  4.0500  49.8127  0.0498
435000  0.5929  18  4.6111  58.6279  0.0586
450000  0.5643  17  4.6471  59.4167  0.0594
465000  0.6000  18  4.6667  59.4738  0.0595
480000  0.6286  18  4.8889  62.6033  0.0626
495000  0.5929  17  4.8824  62.0900  0.0621
510000  0.6071  17  5.0000  64.1321  0.0641
525000  0.6857  17  5.6471  74.8807  0.0749
540000  0.6571  15  6.1333  82.6882  0.0827
555000  0.6571  15  6.1333  82.7916  0.0828
570000  0.6786  16  5.9375  78.7627  0.0788
585000  0.7286  18  5.6667  73.9710  0.0740
600000  0.7143  19  5.2632  67.8459  0.0678
615000  0.7643  19  5.6316  73.1177  0.0731
630000  0.7214  16  6.3125  83.7067  0.0837
645000  0.6857  15  6.4000  84.6073  0.0846
660000  0.7071  15  6.6000  87.8274  0.0878
675000  0.7714  18  6.0000  77.8559  0.0779
690000  0.7786  19  5.7368  73.6191  0.0736
705000  0.7786  19  5.7368  73.7513  0.0738
720000  0.7857  19  5.7895  74.0663  0.0741
735000  0.7643  18  5.9444  76.2685  0.0763
750000  0.8000  19  5.8947  76.1796  0.0762
765000  0.8071  18  6.2778  81.8353  0.0818
780000  0.8500  18  6.6111  86.5446  0.0865
795000  0.8429  17  6.9412  91.8695  0.0919
810000  0.8429  17  6.9412  91.7628  0.0918
825000  0.8500  16  7.4375  99.4079  0.0994
840000  0.8571  16  7.5000  100.3592  0.1004
855000  0.8571  16  7.5000  100.4983  0.1005
870000  0.8571  16  7.5000  100.1053  0.1001
885000  0.8429  17  6.9412  91.2889  0.0913
900000  0.8429  17  6.9412  91.5789  0.0916
915000  0.8643  17  7.1176  93.7729  0.0938
930000  0.8571  16  7.5000  99.4298  0.0994
945000  0.8571  16  7.5000  99.5256  0.0995
960000  0.8571  16  7.5000  99.5039  0.0995
975000  0.8571  16  7.5000  98.8588  0.0989
990000  0.8714  16  7.6250  101.2994  0.1013
1005000  0.8929  17  7.3529  97.1985  0.0972
1020000  0.8643  15  8.0667  107.4684  0.1075
1035000  0.8714  15  8.1333  108.2376  0.1082
1050000  0.8429  15  7.8667  104.7199  0.1047
1065000  0.8714  15  8.1333  108.1888  0.1082
1080000  0.9071  16  7.9375  105.5352  0.1055
1095000  0.8929  16  7.8125  103.6056  0.1036
1110000  0.9000  16  7.8750  104.4428  0.1044
1125000  0.8929  15  8.3333  110.9941  0.1110
1140000  0.8929  16  7.8125  103.3200  0.1033
1155000  0.8929  16  7.8125  103.5061  0.1035
1170000  0.8929  15  8.3333  110.7762  0.1108
1185000  0.9000  15  8.4000  111.8014  0.1118
1200000  0.9071  14  9.0714  122.4206  0.1224
1215000  0.9071  14  9.0714  121.9990  0.1220
1230000  0.8857  14  8.8571  117.8271  0.1178
1245000  0.8857  14  8.8571  118.4991  0.1185
1260000  0.8857  15  8.2667  109.1581  0.1092
1275000  0.9000  14  9.0000  119.9116  0.1199
1290000  0.9071  14  9.0714  121.4276  0.1214
1305000  0.9071  14  9.0714  121.5258  0.1215
1320000  0.8929  14  8.9286  118.6463  0.1186
1335000  0.9000  14  9.0000  119.0969  0.1191
1350000  0.9000  14  9.0000  119.3312  0.1193
1365000  0.9000  14  9.0000  119.0023  0.1190
1380000  0.9071  13  9.7692  130.5607  0.1306
1395000  0.9214  14  9.2143  122.6822  0.1227
1410000  0.9214  13  9.9231  133.0755  0.1331
1425000  0.9143  13  9.8462  131.2236  0.1312
1440000  0.9214  14  9.2143  121.5617  0.1216
1455000  0.9214  14  9.2143  121.7135  0.1217
1470000  0.9286  14  9.2857  122.7778  0.1228
1485000  0.9286  12  10.8333  145.7637  0.1458
