10000  0.2583  9  3.4444  42.2852  0.0423
20000  0.2667  9  3.5556  44.5742  0.0446
30000  0.3500  12  3.5000  43.6483  0.0436
40000  0.3250  11  3.5455  44.2547  0.0443
50000  0.3250  11  3.5455  44.1790  0.0442
60000  0.3500  12  3.5000  43.1221  0.0431
70000  0.3000  10  3.6000  45.5136  0.0455
80000  0.3750  13  3.4615  41.9569  0.0420
90000  0.3500  12  3.5000  42.7315  0.0427
100000  0.3500  12  3.5000  42.5328  0.0425
110000  0.3333  11  3.6364  44.3422  0.0443
120000  0.3833  13  3.5385  42.2760  0.0423
130000  0.3583  12  3.5833  42.6521  0.0427
140000  0.3583  12  3.5833  42.6037  0.0426
150000  0.3750  12  3.7500  44.8108  0.0448
160000  0.4167  13  3.8462  46.6278  0.0466
170000  0.4167  13  3.8462  46.6000  0.0466
180000  0.3917  11  4.2727  52.7382  0.0527
190000  0.4083  11  4.4545  55.8747  0.0559
200000  0.4167  11  4.5455  57.5443  0.0575
210000  0.4083  11  4.4545  56.0908  0.0561
220000  0.5083  13  4.6923  59.4736  0.0595
230000  0.5083  13  4.6923  59.4536  0.0595
240000  0.4917  13  4.5385  57.1650  0.0572
250000  0.5083  13  4.6923  59.2415  0.0592
260000  0.5083  13  4.6923  59.2319  0.0592
270000  0.5667  15  4.5333  56.5542  0.0566
280000  0.5833  15  4.6667  58.4580  0.0585
290000  0.5833  15  4.6667  58.4575  0.0585
300000  0.6250  16  4.6875  59.0606  0.0591
310000  0.6000  15  4.8000  60.1651  0.0602
320000  0.6000  15  4.8000  60.1753  0.0602
330000  0.6250  16  4.6875  58.8837  0.0589
340000  0.6250  16  4.6875  58.7601  0.0588
350000  0.6250  16  4.6875  58.7589  0.0588
360000  0.6333  16  4.7500  60.0373  0.0600
370000  0.6250  16  4.6875  58.6345  0.0586
380000  0.6333  16  4.7500  59.5008  0.0595
390000  0.6583  16  4.9375  62.8057  0.0628
400000  0.6583  16  4.9375  62.4832  0.0625
410000  0.7000  17  4.9412  62.4962  0.0625
420000  0.6667  16  5.0000  63.5208  0.0635
430000  0.7083  17  5.0000  63.3318  0.0633
440000  0.7083  16  5.3125  68.5724  0.0686
450000  0.7333  16  5.5000  71.2196  0.0712
460000  0.7500  14  6.4286  85.7331  0.0857
470000  0.7500  14  6.4286  85.7211  0.0857
480000  0.7500  15  6.0000  79.0180  0.0790
490000  0.7500  14  6.4286  85.5515  0.0856
500000  0.7500  14  6.4286  85.5454  0.0855
510000  0.7500  14  6.4286  85.9923  0.0860
520000  0.7667  13  7.0769  96.0125  0.0960
530000  0.7667  12  7.6667  105.7588  0.1058
540000  0.7667  13  7.0769  95.9809  0.0960
550000  0.7917  13  7.3077  100.1528  0.1002
560000  0.7917  13  7.3077  100.1446  0.1001
570000  0.8000  13  7.3846  101.7316  0.1017
580000  0.7833  12  7.8333  109.1072  0.1091
590000  0.7917  12  7.9167  110.4977  0.1105
600000  0.8333  13  7.6923  106.8112  0.1068
610000  0.7917  12  7.9167  110.3274  0.1103
620000  0.7917  12  7.9167  110.3235  0.1103
630000  0.8667  14  7.4286  102.4894  0.1025
640000  0.8250  13  7.6154  105.7352  0.1057
650000  0.8417  13  7.7692  107.9697  0.1080
660000  0.9083  15  7.2667  99.5332  0.0995
670000  0.8917  14  7.6429  105.1691  0.1052
680000  0.8917  14  7.6429  105.1814  0.1052
690000  0.9333  15  7.4667  102.1287  0.1021
700000  0.9250  15  7.4000  100.8311  0.1008
710000  0.9333  15  7.4667  101.8061  0.1018
720000  0.9417  14  8.0714  111.8660  0.1119
730000  0.9333  15  7.4667  101.7109  0.1017
740000  0.9333  14  8.0000  110.4880  0.1105
750000  0.9333  14  8.0000  110.4926  0.1105
760000  0.9333  13  8.6154  120.0209  0.1200
770000  0.9333  13  8.6154  120.0322  0.1200
780000  0.9333  13  8.6154  120.0002  0.1200
790000  0.9333  13  8.6154  119.9318  0.1199
800000  0.9333  13  8.6154  119.9451  0.1199
810000  0.9333  14  8.0000  109.8411  0.1098
820000  0.9333  14  8.0000  109.7905  0.1098
830000  0.9333  14  8.0000  109.7978  0.1098
840000  0.9417  14  8.0714  110.9103  0.1109
850000  0.9500  14  8.1429  111.8908  0.1119
860000  0.9500  14  8.1429  111.8966  0.1119
870000  0.9500  14  8.1429  111.8760  0.1119
880000  0.9500  14  8.1429  111.7953  0.1118
890000  0.9500  14  8.1429  111.8014  0.1118
900000  0.9417  13  8.6923  120.3613  0.1204
910000  0.9500  13  8.7692  121.2835  0.1213
920000  0.9500  13  8.7692  121.2975  0.1213
930000  0.9500  13  8.7692  121.8661  0.1219
