10000  1.8831  1.6069
20000  1.7410  1.9287
30000  2.2293  1.8551
40000  2.4079  2.2218
50000  2.6471  2.5170
60000  2.4386  2.9246
70000  2.6698  2.3265
80000  2.5536  2.5902
90000  2.3364  2.2003
100000  2.8934  2.8926
