10000  1.1281  1.1281  112.5284
20000  1.1192  1.1236  113.4230
30000  1.1208  1.1227  113.2641
40000  1.1197  1.1219  113.3674
50000  1.1228  1.1221  113.0589
60000  1.1236  1.1224  112.9797
70000  1.1214  1.1222  113.2003
80000  1.1207  1.1220  113.2700
90000  1.1228  1.1221  113.0546
100000  1.1223  1.1221  113.1078
