10000  0.0000  0  -nan  -nan  -nan
20000  0.0000  0  -nan  -nan  -nan
30000  0.1000  2  3.0000  33.0447  0.0330
40000  0.0500  1  3.0000  28.2554  0.0283
50000  0.1000  2  3.0000  32.0683  0.0321
60000  0.1667  3  3.3333  36.4956  0.0365
70000  0.1667  3  3.3333  36.7710  0.0368
80000  0.1667  3  3.3333  37.1510  0.0372
90000  0.2500  4  3.7500  46.1458  0.0461
100000  0.2167  4  3.2500  38.3285  0.0383
110000  0.3000  5  3.6000  43.5804  0.0436
120000  0.3500  5  4.2000  51.1884  0.0512
130000  0.3500  5  4.2000  48.3840  0.0484
140000  0.3500  5  4.2000  47.9484  0.0479
150000  0.4167  6  4.1667  48.9237  0.0489
160000  0.4500  7  3.8571  45.1544  0.0452
170000  0.5000  8  3.7500  43.6687  0.0437
180000  0.5000  8  3.7500  44.0225  0.0440
190000  0.5000  7  4.2857  53.5729  0.0536
200000  0.5500  8  4.1250  50.8821  0.0509
210000  0.5000  7  4.2857  54.5074  0.0545
220000  0.5333  7  4.5714  58.6384  0.0586
230000  0.5333  7  4.5714  58.0346  0.0580
240000  0.5333  6  5.3333  70.3147  0.0703
250000  0.4833  6  4.8333  61.4720  0.0615
260000  0.6000  8  4.5000  56.1785  0.0562
270000  0.6667  8  5.0000  65.6768  0.0657
280000  0.7500  9  5.0000  65.4989  0.0655
290000  0.7500  9  5.0000  65.5960  0.0656
300000  0.8000  10  4.8000  62.6317  0.0626
310000  0.8500  10  5.1000  68.2732  0.0683
320000  0.8500  10  5.1000  68.2141  0.0682
330000  0.8500  10  5.1000  68.2041  0.0682
340000  0.8500  9  5.6667  77.6195  0.0776
350000  0.8500  9  5.6667  77.6742  0.0777
360000  0.8667  9  5.7778  80.0817  0.0801
370000  0.8500  8  6.3750  89.7921  0.0898
380000  0.9000  8  6.7500  95.2496  0.0952
390000  0.8500  7  7.2857  102.9278  0.1029
400000  0.8500  7  7.2857  102.9094  0.1029
410000  0.8500  6  8.5000  123.3888  0.1234
420000  0.8500  6  8.5000  123.2860  0.1233
430000  0.8500  6  8.5000  123.3420  0.1233
440000  0.8500  6  8.5000  123.4540  0.1235
450000  0.8833  6  8.8333  128.9376  0.1289
460000  0.8833  4  13.2500  202.8123  0.2028
470000  0.8833  4  13.2500  202.8137  0.2028
480000  0.8833  4  13.2500  202.8728  0.2029
490000  0.8667  4  13.0000  199.2706  0.1993
500000  0.8667  4  13.0000  199.1335  0.1991
510000  0.8667  4  13.0000  199.0573  0.1991
520000  0.8667  3  17.3333  270.9223  0.2709
530000  0.8500  3  17.0000  263.9780  0.2640
540000  0.8500  3  17.0000  264.0140  0.2640
550000  0.8500  3  17.0000  264.1581  0.2642
560000  0.8500  3  17.0000  264.3294  0.2643
570000  0.8500  3  17.0000  264.5836  0.2646
580000  0.8667  3  17.3333  271.4415  0.2714
590000  0.8833  3  17.6667  278.2690  0.2783
600000  0.8833  3  17.6667  278.1327  0.2781
610000  0.9000  3  18.0000  283.8011  0.2838
620000  0.9000  3  18.0000  283.8543  0.2839
630000  0.9000  3  18.0000  283.9624  0.2840
640000  0.8833  3  17.6667  279.6946  0.2797
650000  0.8667  3  17.3333  272.9378  0.2729
660000  0.8667  3  17.3333  273.1765  0.2732
670000  0.8667  3  17.3333  273.4456  0.2734
680000  0.8833  3  17.6667  280.4810  0.2805
690000  0.8833  3  17.6667  280.3171  0.2803
700000  0.8833  3  17.6667  280.2428  0.2802
710000  0.8833  2  26.5000  427.6978  0.4277
720000  0.8833  2  26.5000  427.7727  0.4278
730000  0.8833  3  17.6667  278.1068  0.2781
740000  0.8833  3  17.6667  278.0367  0.2780
750000  0.8833  3  17.6667  277.9495  0.2779
760000  0.8833  3  17.6667  277.8210  0.2778
770000  0.8833  3  17.6667  277.7314  0.2777
780000  0.8833  3  17.6667  275.2421  0.2752
790000  0.9000  3  18.0000  280.7223  0.2807
800000  0.9333  2  28.0000  448.9483  0.4489
810000  0.9333  2  28.0000  448.4808  0.4485
820000  0.9333  2  28.0000  448.0975  0.4481
830000  0.9333  2  28.0000  447.8550  0.4479
840000  0.9333  2  28.0000  447.6604  0.4477
850000  0.9333  2  28.0000  447.4961  0.4475
860000  0.9333  2  28.0000  447.3862  0.4474
870000  0.9500  2  28.5000  457.5735  0.4576
880000  0.9500  2  28.5000  457.2519  0.4573
890000  0.9500  2  28.5000  457.0691  0.4571
900000  0.9667  2  29.0000  465.8696  0.4659
910000  0.9333  2  28.0000  449.6095  0.4496
920000  0.9333  2  28.0000  449.5941  0.4496
930000  0.9333  2  28.0000  449.6767  0.4497
940000  0.9167  2  27.5000  439.3732  0.4394
950000  0.9167  2  27.5000  439.5434  0.4395
960000  0.9333  2  28.0000  450.2938  0.4503
970000  0.9333  2  28.0000  450.0768  0.4501
980000  0.9333  2  28.0000  449.9879  0.4500
990000  0.9333  2  28.0000  449.9027  0.4499
1000000  0.9333  2  28.0000  449.8701  0.4499
1010000  0.9333  2  28.0000  449.8875  0.4499
1020000  0.9333  2  28.0000  449.9159  0.4499
1030000  0.9000  2  27.0000  430.6404  0.4306
1040000  0.9000  2  27.0000  430.8185  0.4308
1050000  0.8833  2  26.5000  420.4951  0.4205
1060000  0.8833  2  26.5000  420.9258  0.4209
1070000  0.8833  2  26.5000  421.4398  0.4214
1080000  0.9167  2  27.5000  441.1741  0.4412
1090000  0.9167  2  27.5000  441.6638  0.4417
1100000  0.9167  2  27.5000  441.5232  0.4415
1110000  0.8667  1  52.0000  842.0966  0.8421
1120000  0.8833  1  53.0000  862.8536  0.8629
1130000  0.8833  1  53.0000  862.5208  0.8625
1140000  0.8833  1  53.0000  862.2365  0.8622
1150000  0.8833  1  53.0000  861.9614  0.8620
1160000  0.9000  1  54.0000  882.7978  0.8828
1170000  0.9000  1  54.0000  882.6215  0.8826
1180000  0.9000  1  54.0000  882.4923  0.8825
1190000  0.9000  1  54.0000  882.3998  0.8824
1200000  0.9000  1  54.0000  882.3495  0.8823
1210000  0.9000  1  54.0000  882.3334  0.8823
1220000  0.9000  1  54.0000  882.2099  0.8822
1230000  0.9000  1  54.0000  882.1278  0.8821
1240000  0.9000  1  54.0000  882.1133  0.8821
1250000  0.9000  1  54.0000  882.1089  0.8821
1260000  0.9333  1  56.0000  922.1179  0.9221
1270000  0.9333  1  56.0000  921.9364  0.9219
1280000  0.9333  1  56.0000  921.7968  0.9218
1290000  0.9333  1  56.0000  921.7412  0.9217
1300000  0.9333  1  56.0000  921.5947  0.9216
1310000  0.9333  1  56.0000  921.3254  0.9213
1320000  0.9333  1  56.0000  921.0155  0.9210
1330000  0.9333  1  56.0000  920.7001  0.9207
1340000  0.9333  1  56.0000  920.3724  0.9204
1350000  0.9833  2  29.5000  475.3687  0.4754
1360000  0.9833  2  29.5000  475.3527  0.4754
