50000  0.3300  8  4.1250  81.7274
100000  0.5000  11  4.5455  79.8101
150000  0.4900  12  4.0833  76.6520
200000  0.5800  14  4.1429  59.5026
250000  0.6800  14  4.8571  78.4850
300000  0.6400  13  4.9231  82.3516
350000  0.7200  15  4.8000  76.7117
400000  0.8000  18  4.4444  66.7435
450000  0.7600  16  4.7500  60.1994
500000  0.7800  16  4.8750  61.4103
550000  0.7600  16  4.7500  59.0838
600000  0.8500  18  4.7222  52.5993
650000  0.8400  18  4.6667  51.2108
700000  0.8400  18  4.6667  50.5557
750000  0.8600  17  5.0588  55.1629
800000  0.8500  16  5.3125  57.7138
850000  0.8500  15  5.6667  80.3206
900000  0.8700  15  5.8000  82.1997
950000  0.9000  16  5.6250  60.3431
1000000  0.9600  17  5.6471  59.5478
