12500  1.4468  1.4495
25000  1.4334  1.4036
37500  1.4501  1.4190
50000  1.4443  1.4430
62500  1.4161  1.4308
75000  1.3928  1.4218
87500  1.3813  1.4330
100000  1.4351  1.4244
112500  1.4632  1.4441
125000  1.4718  1.4384
137500  1.4490  1.4267
150000  1.4552  1.4077
162500  1.4762  1.4050
175000  1.4855  1.4479
187500  1.4824  1.4255
200000  1.4853  1.4536
212500  1.4706  1.4494
225000  1.4828  1.4646
237500  1.4565  1.4770
250000  1.4595  1.4595
262500  1.4969  1.4459
275000  1.4663  1.4849
287500  1.4870  1.4665
300000  1.4624  1.4438
312500  1.4649  1.4379
325000  1.4664  1.4005
337500  1.4790  1.3920
350000  1.4715  1.4309
362500  1.4602  1.4780
375000  1.4816  1.5011
387500  1.4729  1.4865
400000  1.4914  1.4589
412500  1.4746  1.4949
425000  1.4712  1.4951
437500  1.4858  1.4811
450000  1.4809  1.4717
462500  1.4501  1.4604
475000  1.4243  1.4665
487500  1.4536  1.4662
500000  1.4599  1.4564
