10000  0.0500  1  3.0000  18.4268  0.0614
20000  0.0500  1  3.0000  18.5330  0.0618
30000  0.0500  1  3.0000  18.6215  0.0621
40000  0.0500  1  3.0000  18.7083  0.0624
50000  0.0500  1  3.0000  18.8004  0.0627
60000  0.0500  1  3.0000  18.9148  0.0630
70000  0.1167  2  3.5000  24.1019  0.0803
80000  0.1167  2  3.5000  24.1653  0.0806
90000  0.1167  2  3.5000  24.2394  0.0808
100000  0.1167  2  3.5000  24.3250  0.0811
110000  0.1167  2  3.5000  24.4117  0.0814
120000  0.1333  2  4.0000  28.4554  0.0949
130000  0.1333  2  4.0000  28.5785  0.0953
140000  0.1833  3  3.6667  25.9182  0.0864
150000  0.1500  3  3.0000  19.2160  0.0641
160000  0.1000  2  3.0000  18.7087  0.0624
170000  0.1000  2  3.0000  18.5796  0.0619
180000  0.0500  1  3.0000  19.2952  0.0643
190000  0.0500  1  3.0000  19.0007  0.0633
200000  0.0500  1  3.0000  18.6925  0.0623
210000  0.0500  1  3.0000  18.3676  0.0612
220000  0.0500  1  3.0000  18.0253  0.0601
230000  0.0500  1  3.0000  17.6645  0.0589
240000  0.0500  1  3.0000  17.2793  0.0576
250000  0.0500  1  3.0000  16.8686  0.0562
260000  0.0500  1  3.0000  16.4336  0.0548
270000  0.0500  1  3.0000  15.9762  0.0533
280000  0.0500  1  3.0000  15.4971  0.0517
290000  0.0500  1  3.0000  14.9929  0.0500
300000  0.0500  1  3.0000  14.4556  0.0482
310000  0.0500  1  3.0000  13.8738  0.0462
320000  0.0500  1  3.0000  13.2244  0.0441
330000  0.0500  1  3.0000  12.5544  0.0418
340000  0.0000  0  -nan  -nan  -nan
350000  0.0000  0  -nan  -nan  -nan
360000  0.0000  0  -nan  -nan  -nan
370000  0.0000  0  -nan  -nan  -nan
380000  0.0000  0  -nan  -nan  -nan
390000  0.0000  0  -nan  -nan  -nan
400000  0.0500  1  3.0000  17.4811  0.0583
410000  0.0500  1  3.0000  17.1837  0.0573
420000  0.0500  1  3.0000  16.9050  0.0564
430000  0.0500  1  3.0000  16.6575  0.0555
440000  0.0500  1  3.0000  16.5904  0.0553
450000  0.0500  1  3.0000  20.7336  0.0691
460000  0.0000  0  -nan  -nan  -nan
470000  0.0000  0  -nan  -nan  -nan
480000  0.0000  0  -nan  -nan  -nan
490000  0.0000  0  -nan  -nan  -nan
500000  0.0000  0  -nan  -nan  -nan
510000  0.0000  0  -nan  -nan  -nan
520000  0.0000  0  -nan  -nan  -nan
530000  0.0000  0  -nan  -nan  -nan
540000  0.0000  0  -nan  -nan  -nan
550000  0.0000  0  -nan  -nan  -nan
560000  0.0000  0  -nan  -nan  -nan
570000  0.0000  0  -nan  -nan  -nan
580000  0.0000  0  -nan  -nan  -nan
590000  0.0000  0  -nan  -nan  -nan
600000  0.0000  0  -nan  -nan  -nan
610000  0.0000  0  -nan  -nan  -nan
620000  0.0000  0  -nan  -nan  -nan
630000  0.0000  0  -nan  -nan  -nan
640000  0.0000  0  -nan  -nan  -nan
650000  0.0000  0  -nan  -nan  -nan
660000  0.0000  0  -nan  -nan  -nan
670000  0.0000  0  -nan  -nan  -nan
680000  0.0000  0  -nan  -nan  -nan
690000  0.0000  0  -nan  -nan  -nan
700000  0.0000  0  -nan  -nan  -nan
710000  0.0000  0  -nan  -nan  -nan
720000  0.0000  0  -nan  -nan  -nan
730000  0.0000  0  -nan  -nan  -nan
740000  0.0000  0  -nan  -nan  -nan
750000  0.0000  0  -nan  -nan  -nan
760000  0.0000  0  -nan  -nan  -nan
770000  0.0500  1  3.0000  19.3740  0.0646
780000  0.1000  2  3.0000  18.6279  0.0621
790000  0.1000  2  3.0000  18.1350  0.0605
800000  0.1000  2  3.0000  17.5935  0.0586
810000  0.1000  2  3.0000  16.9793  0.0566
820000  0.0500  1  3.0000  14.8576  0.0495
830000  0.0500  1  3.0000  13.7491  0.0458
840000  0.0000  0  -nan  -nan  -nan
850000  0.0000  0  -nan  -nan  -nan
860000  0.0000  0  -nan  -nan  -nan
870000  0.0000  0  -nan  -nan  -nan
880000  0.0000  0  -nan  -nan  -nan
890000  0.1000  2  3.0000  16.4893  0.0550
900000  0.1000  2  3.0000  16.3586  0.0545
910000  0.1500  3  3.0000  16.6238  0.0554
920000  0.1000  2  3.0000  17.8357  0.0595
930000  0.1000  2  3.0000  15.9969  0.0533
940000  0.0500  1  3.0000  15.7968  0.0527
950000  0.1000  2  3.0000  17.3384  0.0578
960000  0.1000  2  3.0000  16.9395  0.0565
970000  0.1000  2  3.0000  16.6462  0.0555
980000  0.1000  2  3.0000  16.4885  0.0550
990000  0.0500  1  3.0000  15.4011  0.0513
1000000  0.0500  1  3.0000  15.3477  0.0512
1010000  0.0500  1  3.0000  15.2867  0.0510
1020000  0.0500  1  3.0000  15.2369  0.0508
1030000  0.0500  1  3.0000  15.1873  0.0506
1040000  0.0500  1  3.0000  15.1366  0.0505
1050000  0.0500  1  3.0000  15.0894  0.0503
1060000  0.0500  1  3.0000  15.0451  0.0502
1070000  0.0500  1  3.0000  15.0043  0.0500
1080000  0.0500  1  3.0000  15.0458  0.0502
1090000  0.0500  1  3.0000  14.9722  0.0499
1100000  0.0500  1  3.0000  14.9340  0.0498
1110000  0.0500  1  3.0000  14.8936  0.0496
1120000  0.0500  1  3.0000  14.8564  0.0495
1130000  0.0500  1  3.0000  14.7925  0.0493
1140000  0.0500  1  3.0000  14.9630  0.0499
1150000  0.0000  0  -nan  -nan  -nan
1160000  0.0000  0  -nan  -nan  -nan
1170000  0.0000  0  -nan  -nan  -nan
1180000  0.0000  0  -nan  -nan  -nan
1190000  0.0000  0  -nan  -nan  -nan
1200000  0.0000  0  -nan  -nan  -nan
1210000  0.0000  0  -nan  -nan  -nan
