80000  0.0600  1  3.0000  32.0176  0.0320
160000  0.0000  0  -nan  -nan  -nan
240000  0.0600  1  3.0000  26.0625  0.0261
320000  0.0600  1  3.0000  27.6287  0.0276
400000  0.0600  1  3.0000  24.5707  0.0246
480000  0.0000  0  -nan  -nan  -nan
560000  0.0000  0  -nan  -nan  -nan
640000  0.0000  0  -nan  -nan  -nan
720000  0.0600  1  3.0000  21.6720  0.0217
800000  0.0600  1  3.0000  24.2250  0.0242
880000  0.0600  1  3.0000  34.5667  0.0346
960000  0.0800  1  4.0000  43.3671  0.0434
1040000  0.0800  1  4.0000  45.4738  0.0455
1120000  0.0800  1  4.0000  49.9368  0.0499
1200000  0.0800  1  4.0000  49.1624  0.0492
1280000  0.0600  1  3.0000  28.8273  0.0288
1360000  0.1200  2  3.0000  34.5151  0.0345
1440000  0.1400  2  3.5000  41.6481  0.0416
1520000  0.2600  4  3.2500  36.8998  0.0369
1600000  0.2000  3  3.3333  35.6989  0.0357
