10000  0.0000  0  -nan  -nan  -nan
20000  0.0000  0  -nan  -nan  -nan
30000  0.0000  0  -nan  -nan  -nan
40000  0.0000  0  -nan  -nan  -nan
50000  0.0000  0  -nan  -nan  -nan
60000  0.0000  0  -nan  -nan  -nan
70000  0.0000  0  -nan  -nan  -nan
80000  0.0600  1  3.0000  35.0468  0.0350
90000  0.0600  1  3.0000  35.1904  0.0352
100000  0.0600  1  3.0000  35.3195  0.0353
110000  0.0600  1  3.0000  35.4536  0.0355
120000  0.1200  2  3.0000  35.7737  0.0358
130000  0.1200  2  3.0000  35.4849  0.0355
140000  0.1800  3  3.0000  32.5381  0.0325
150000  0.3000  5  3.0000  32.5004  0.0325
160000  0.3400  5  3.4000  40.5500  0.0406
170000  0.3400  4  4.2500  53.9854  0.0540
180000  0.3400  4  4.2500  53.8067  0.0538
190000  0.4000  5  4.0000  50.9673  0.0510
200000  0.4000  5  4.0000  49.9809  0.0500
210000  0.4000  5  4.0000  49.8020  0.0498
220000  0.4600  6  3.8333  46.6814  0.0467
230000  0.5400  7  3.8571  48.4823  0.0485
240000  0.5600  7  4.0000  51.7574  0.0518
250000  0.5600  7  4.0000  50.9959  0.0510
260000  0.5800  7  4.1429  52.7938  0.0528
270000  0.6800  7  4.8571  64.8293  0.0648
280000  0.6800  7  4.8571  64.6619  0.0647
290000  0.7000  7  5.0000  67.4492  0.0674
300000  0.7400  8  4.6250  60.4235  0.0604
310000  0.7400  8  4.6250  60.1369  0.0601
320000  0.7400  8  4.6250  59.9390  0.0599
330000  0.7200  8  4.5000  57.8968  0.0579
340000  0.7200  8  4.5000  57.8871  0.0579
350000  0.7600  8  4.7500  62.9001  0.0629
360000  0.7400  8  4.6250  60.3033  0.0603
370000  0.7400  8  4.6250  60.3516  0.0604
380000  0.7000  7  5.0000  67.5670  0.0676
390000  0.6800  7  4.8571  63.5097  0.0635
400000  0.6800  7  4.8571  63.4905  0.0635
410000  0.6800  7  4.8571  63.5225  0.0635
420000  0.6800  6  5.6667  77.3239  0.0773
430000  0.7000  6  5.8333  80.8890  0.0809
440000  0.6800  6  5.6667  77.4822  0.0775
450000  0.6600  6  5.5000  74.0433  0.0740
460000  0.6800  6  5.6667  76.2569  0.0763
470000  0.6800  6  5.6667  74.8049  0.0748
480000  0.6600  6  5.5000  71.4909  0.0715
490000  0.7000  6  5.8333  78.4865  0.0785
500000  0.7000  6  5.8333  78.3627  0.0784
510000  0.7200  6  6.0000  80.2621  0.0803
520000  0.7800  7  5.5714  74.8035  0.0748
530000  0.7800  6  6.5000  90.8347  0.0908
540000  0.7800  6  6.5000  90.9174  0.0909
550000  0.7800  6  6.5000  90.9981  0.0910
560000  0.7800  6  6.5000  91.0886  0.0911
570000  0.7000  5  7.0000  96.7812  0.0968
580000  0.7200  5  7.2000  102.5000  0.1025
590000  0.7800  6  6.5000  91.9348  0.0919
600000  0.7400  4  9.2500  136.9817  0.1370
610000  0.7600  4  9.5000  137.8200  0.1378
620000  0.7600  4  9.5000  137.4589  0.1375
630000  0.7600  4  9.5000  137.2085  0.1372
640000  0.7800  4  9.7500  142.2592  0.1423
650000  0.7600  3  12.6667  186.6078  0.1866
660000  0.7600  3  12.6667  186.2471  0.1862
670000  0.7600  3  12.6667  185.9878  0.1860
680000  0.7800  3  13.0000  192.6973  0.1927
690000  0.7800  3  13.0000  192.3385  0.1923
700000  0.7800  3  13.0000  192.0726  0.1921
710000  0.7800  3  13.0000  191.9241  0.1919
720000  0.7200  2  18.0000  269.4512  0.2695
730000  0.7800  3  13.0000  192.4183  0.1924
740000  0.7800  3  13.0000  192.1807  0.1922
750000  0.7800  3  13.0000  192.0776  0.1921
760000  0.7800  3  13.0000  192.1140  0.1921
770000  0.7800  3  13.0000  192.2510  0.1923
780000  0.8400  4  10.5000  154.5064  0.1545
790000  0.8200  4  10.2500  149.3438  0.1493
800000  0.8200  4  10.2500  149.5021  0.1495
810000  0.8000  4  10.0000  144.3975  0.1444
820000  0.8000  4  10.0000  144.5241  0.1445
830000  0.8000  4  10.0000  144.6632  0.1447
840000  0.7400  3  12.3333  179.5681  0.1796
850000  0.7400  3  12.3333  179.7883  0.1798
860000  0.7600  3  12.6667  186.8931  0.1869
870000  0.7600  3  12.6667  187.0378  0.1870
