 1  1  6.00   886.30   0.300   0.222   3.043   174.6207    11.5638     8.5160   0.007952   0.000063   0.000001
 0  0  6.00   884.19   0.300   0.089   2.972    48.2518    22.1986     8.4862   0.008875   0.000044   0.000004
 0  0  6.00   884.90   0.300   0.228   3.095   950.5413    51.7188     8.5344   0.008287   0.000013   0.000000
 0  0  6.00   883.54   0.300   0.126   3.144   664.6169    27.9714     8.5111   0.009214  -0.000178  -0.000002
 1  1  6.00   883.99   0.300   0.074   3.149   241.1245    26.3283     8.5565   0.009085  -0.000067  -0.000006
 1  1  6.00   884.96   0.300   0.165   2.958   445.3096    13.9354     8.5346   0.008328  -0.000021   0.000002
 1  1  6.00   884.82   0.300   0.062   3.103   620.6877    33.4466     8.5357   0.008770   0.000170  -0.000002
 0  0  6.00   885.39   0.300   0.089   2.956   907.0817    31.7899     8.5605   0.008879  -0.000030  -0.000003
 1  1  6.00   886.10   0.300   0.238   3.035   460.6143    11.2200     8.5717   0.007843   0.000123  -0.000006
 0  0  6.00   883.19   0.300   0.253   3.839   242.3467    45.8048     8.5480   0.007811  -0.000249  -0.000001
 0  0  6.00   884.82   0.300   0.113   3.318   319.6009    22.4576     8.5250   0.008683   0.000153  -0.000001
 0  0  6.00   885.35   0.300   0.211   3.299   657.7820    52.6982     8.5386   0.008032  -0.000026  -0.000004
 0  0  6.00   884.65   0.300   0.195   3.178   972.6794    12.2695     8.5677   0.008133   0.000055  -0.000003
 0  0  6.00   884.39   0.300   0.082   2.975   963.8503    29.3307     8.5804   0.008908   0.000132  -0.000004
 0  0  6.00   883.51   0.300   0.201   3.676   861.2037    46.3472     8.5323   0.008506  -0.000290   0.000004
 0  0  6.00   885.96   0.300   0.271   2.912   735.5416    54.3034     8.5556   0.007779  -0.000026  -0.000004
 0  0  6.00   884.44   0.300   0.162   3.336   908.5215    14.2238     8.5593   0.008477  -0.000044  -0.000003
 0  0  6.00   883.15   0.300   0.239   3.442   732.9524    28.5181     8.5705   0.008878   0.000244  -0.000007
 0  0  6.00   886.02   0.300   0.319   2.918   725.2131    51.3981     8.6013   0.007954  -0.000010  -0.000007
 0  0  6.00   884.03   0.300   0.113   2.870    72.7157    42.7662     8.5424   0.008781  -0.000050  -0.000000
 0  0  6.00   884.26   0.300   0.111   2.875   518.4990    32.5702     8.5426   0.008837  -0.000036  -0.000001
 0  0  6.00   886.29   0.300   0.178   2.838   675.3614    52.3840     8.5213   0.008104  -0.000012  -0.000001
 0  0  6.00   883.65   0.300   0.203   3.276   742.3685    18.0851     8.6467   0.008421   0.000219  -0.000011
 0  0  6.00   883.99   0.300   0.166   3.148   713.2244    50.0843     8.6300   0.008130   0.000027  -0.000004
 1  1  6.00   883.70   0.300   0.126   3.117   472.3733    45.3745     8.6520   0.008551   0.000090  -0.000008
 1  1  6.00   884.25   0.300   0.106   3.201   855.1351    16.5004     8.6296   0.008715  -0.000060  -0.000007
 0  0  6.00   886.34   0.300   0.212   3.026   573.0041    12.1449     8.5414   0.008105   0.000164  -0.000005
 0  0  6.00   884.65   0.300   0.066   3.034   323.0715    39.0953     8.5008   0.009169  -0.000119  -0.000001
 0  0  6.00   882.99   0.300   0.127   3.336   130.9405    23.9124     8.6052   0.008619   0.000053  -0.000004
 0  0  6.00   883.70   0.300   0.110   3.259   541.0082    30.4556     8.5486   0.008796   0.000291  -0.000003
 0  0  6.00   884.90   0.300   0.181   3.133   700.2789    14.6043     8.5105   0.008566   0.000006  -0.000001
 0  0  6.00   883.30   0.300   0.171   3.463   768.5591    37.7681     8.5298   0.008763  -0.000297  -0.000003
 0  0  6.00   883.03   0.300   0.128   3.160   504.0819    27.8199     8.5384   0.008892   0.000097  -0.000002
 0  0  6.00   883.64   0.300   0.197   3.205     4.6087    47.1659     8.4944   0.008474  -0.000057   0.000002
 0  0  6.00   883.77   0.300   0.126   2.950   307.0513    32.8677     8.5009   0.008794  -0.000065  -0.000000
 0  0  6.00   884.10   0.300   0.102   3.263   926.4277    21.6480     8.5492   0.008497   0.000120  -0.000002
 1  1  6.00   886.48   0.300   0.230   2.573   154.2726    11.8715     8.5112   0.008109   0.000025   0.000000
 1  1  6.00   884.05   0.300   0.112   3.097   604.3236    35.4989     8.5458   0.008875  -0.000225  -0.000001
 0  0  6.00   886.11   0.300   0.209   3.078   802.3895    53.3906     8.5030   0.007992  -0.000084  -0.000002
 0  0  6.00   885.64   0.300   0.098   2.755   879.6284    24.0635     8.6037   0.008794   0.000290  -0.000002
 0  0  6.00   883.21   0.300   0.310   3.480   246.1814    53.5436     8.4713   0.007442   0.000017  -0.000005
 0  0  6.00   884.37   0.300   0.166   3.208   112.6447    14.7070     8.5423   0.008614   0.000016   0.000000
 0  0  6.00   885.59   0.300   0.154   3.098   144.2460    25.2818     8.5208   0.008787   0.000218   0.000001
 1  1  6.00   885.72   0.300   0.062   2.850   140.7224    39.2475     8.5026   0.008976   0.000087  -0.000000
 0  0  6.00   883.97   0.300   0.075   3.151    34.4381    35.2784     8.5004   0.008954  -0.000042   0.000000
 0  0  6.00   883.84   0.300   0.140   3.274   989.2869    27.5578     8.5381   0.008951  -0.000076  -0.000003
 1  1  6.00   884.52   0.300   0.320   3.269   854.4203    36.4914     8.5216   0.008601  -0.000219  -0.000002
 0  0  6.00   884.80   0.300   0.152   3.117   364.8644    50.5957     8.5250   0.008450  -0.000115  -0.000002
 0  0  6.00   883.47   0.300   0.085   3.223   563.8546    30.4764     8.5524   0.008972  -0.000099  -0.000003
 0  0  6.00   886.40   0.300   0.263   3.155   905.1157    54.8005     8.5072   0.007640  -0.000088  -0.000002
 0  0  6.00   887.06   0.300   0.246   2.867   987.2692    11.8009     8.5351   0.008176   0.000007  -0.000003
 0  0  6.00   884.35   0.300   0.112   2.885   424.1563    33.3289     8.5097   0.008751  -0.000172   0.000000
 0  0  6.00   884.86   0.300   0.136   3.079   625.5906    49.3257     8.5245   0.008708  -0.000026  -0.000003
 0  0  6.00   882.87   0.300   0.137   3.233    59.2446    38.3194     8.5141   0.008889   0.000060   0.000000
 0  0  6.00   885.53   0.300   0.173   2.692   933.4362    13.3677     8.5118   0.008388  -0.000008  -0.000001
 0  0  6.00   885.77   0.300   0.217   3.065   879.2623    11.7126     8.5166   0.008033   0.000022  -0.000004
 0  0  6.00   884.23   0.300   0.106   3.096   164.1979    46.0674     8.5590   0.008782  -0.000081  -0.000001
 0  0  6.00   883.90   0.300   0.117   3.114   410.4656    28.8247     8.5119   0.008754   0.000104  -0.000000
 1  1  6.00   882.99   0.300   0.134   3.195   588.0078    31.8241     8.5772   0.008804   0.000029  -0.000004
 0  0  6.00   882.98   0.300   0.125   3.291   294.4307    40.3384     8.5334   0.008886  -0.000012  -0.000003
 0  0  6.00   884.35   0.300   0.161   3.176   606.5288    50.8081     8.5664   0.008442   0.000016  -0.000007
 0  0  6.00   884.78   0.300   0.101   2.772   914.2302    42.6863     8.5684   0.009015   0.000162  -0.000000
 0  0  6.00   884.82   0.300   0.123   2.906   760.9662    22.4650     8.5755   0.008615  -0.000206  -0.000008
 1  1  6.00   883.43   0.300   0.222   3.460   491.9032    45.9886     8.4897   0.008426  -0.000142   0.000008
 0  0  6.00   885.71   0.300   0.159   3.054   136.7275    52.2497     8.5256   0.008231   0.000030  -0.000001
 1  1  6.00   888.36   0.300   0.250   2.922   476.2735    10.4230     8.5497   0.007672  -0.000014  -0.000005
 0  0  6.00   884.55   0.300   0.117   3.052   532.6867    49.3391     8.5086   0.008571   0.000090   0.000000
 0  0  6.00   883.82   0.300   0.326   2.956   255.7537    55.2682     8.5519   0.007450   0.000021  -0.000001
 1  1  6.00   883.23   0.300   0.128   3.371   181.6758    29.5703     8.7909   0.009076  -0.000161  -0.000006
 0  0  6.00   883.10   0.300   0.166   3.306   869.1260    25.9284     8.5572   0.008705   0.000225  -0.000005
 0  0  6.00   885.60   0.300   0.267   2.939   633.8322    11.3928     8.5133   0.008017  -0.000001  -0.000002
 1  1  6.00   883.64   0.300   0.116   3.267   197.1643    27.1367     8.7919   0.008936  -0.000154  -0.000006
 0  0  6.00   883.95   0.300   0.133   2.902   574.4417    43.2112     8.5450   0.008921   0.000088  -0.000002
 0  0  6.00   884.28   0.300   0.122   3.048   436.9321    25.5560     8.5011   0.008733   0.000098   0.000001
 0  0  6.00   885.91   0.300   0.273   3.275    38.4402    54.0324     8.5053   0.007851  -0.000054  -0.000001
 0  0  6.00   884.01   0.300   0.072   3.234   346.9468    36.9547     8.5125   0.008871   0.000186   0.000000
 0  0  6.00   884.31   0.300   0.107   2.872   979.7975    44.3999     8.5518   0.008793   0.000224  -0.000003
 0  0  6.00   884.06   0.300   0.087   2.952   800.3286    22.7532     8.5646   0.008844   0.000001  -0.000001
 0  0  6.00   882.80   0.300   0.163   3.309   894.0223    36.2768     8.5909   0.008797  -0.000176  -0.000004
 0  0  6.00   883.76   0.300   0.187   3.538   547.6749    17.1237     8.5403   0.008254   0.000212  -0.000006
 1  1  6.00   884.80   0.300   0.104   2.896   210.2675    27.4221     8.7671   0.008953  -0.000102  -0.000007
 0  0  6.00   884.93   0.300   0.087   2.761    92.6139    35.7290     8.5985   0.008898  -0.000149  -0.000003
 0  0  6.00   883.55   0.300   0.219   3.672   998.7925    39.5504     8.5453   0.008656  -0.000415   0.000002
 0  0  6.00   885.15   0.300   0.117   2.935   223.8477    42.0278     8.5398   0.008572  -0.000040  -0.000004
 0  0  6.00   884.56   0.300   0.075   3.057   389.8604    27.4358     8.5327   0.008837   0.000215  -0.000001
 0  0  6.00   884.70   0.300   0.229   3.159   201.2633    50.4033     8.6822   0.007994  -0.000083  -0.000014
 0  0  6.00   885.66   0.300   0.269   3.075   356.0080    11.3835     8.5155   0.007967  -0.000021  -0.000002
 0  0  6.00   884.00   0.300   0.073   3.058   948.6780    32.4734     8.5940   0.008864  -0.000229  -0.000004
 1  1  6.00   883.02   0.300   0.193   3.366   812.4095    34.3431     8.5271   0.008846   0.000051  -0.000002
 0  0  6.00   885.87   0.300   0.179   2.962    66.0886    12.9692     8.5231   0.008205   0.000051  -0.000003
 1  1  6.00   884.55   0.300   0.062   2.934   825.9818    37.6365     8.4788   0.008835  -0.000063   0.000003
 0  0  6.00   885.46   0.300   0.285   2.932   210.5550    54.4791     8.6447   0.007616  -0.000037  -0.000007
 1  1  6.00   885.24   0.300   0.091   2.718   105.5779    44.0990     8.5161   0.008721   0.000238  -0.000001
 0  0  6.00   883.75   0.300   0.158   3.144   188.4879    48.1583     8.6965   0.008419   0.000059  -0.000001
 0  0  6.00   884.82   0.300   0.070   2.966   107.9950    30.5308     8.5739   0.008890   0.000181  -0.000003
 0  0  6.00   883.58   0.300   0.114   3.034   274.6343    31.9046     8.5163   0.008948   0.000286  -0.000000
 1  1  6.00   884.94   0.300   0.164   3.203   143.5117    13.1709     8.5355   0.008071   0.000007  -0.000007
 0  0  6.00   883.92   0.300   0.105   3.147   693.6221    26.2563     8.5288   0.008844   0.000184  -0.000002
 0  0  6.00   886.04   0.300   0.281   2.718   295.5461    10.6994     8.4964   0.007803  -0.000027   0.000000
 0  0  6.00   886.27   0.300   0.188   2.745   771.3147    12.9466     8.5153   0.008333   0.000067  -0.000001
