0  0  1.0000  0.0000  0.0000  59.5000  31.5000  61.5000  0.0000
2400  0  1.0000  -0.0000  -0.0006  59.5000  31.5013  61.5000  0.0013
4800  0  1.0000  -0.0001  -0.0045  59.4987  31.5051  61.5000  0.0051
7200  0  1.0000  -0.0002  -0.0098  59.4966  31.5090  61.5000  0.0090
9600  0  0.9999  -0.0003  -0.0153  59.4935  31.5125  61.4999  0.0125
12000  0  0.9998  -0.0004  -0.0208  59.4899  31.5158  61.5001  0.0158
14400  0  0.9997  -0.0005  -0.0261  59.4853  31.5186  61.5002  0.0186
16800  0  0.9995  -0.0006  -0.0315  59.4803  31.5211  61.5001  0.0211
19200  0  0.9993  -0.0007  -0.0369  59.4754  31.5232  61.5000  0.0232
21600  0  0.9991  -0.0008  -0.0424  59.4709  31.5250  61.4999  0.0250
24000  0  0.9988  -0.0010  -0.0481  59.4668  31.5266  61.4996  0.0266
26400  0  0.9985  -0.0011  -0.0539  59.4628  31.5279  61.4993  0.0279
28800  0  0.9982  -0.0012  -0.0599  59.4590  31.5290  61.4990  0.0290
31200  0  0.9978  -0.0014  -0.0660  59.4551  31.5298  61.4989  0.0298
33600  0  0.9974  -0.0016  -0.0722  59.4505  31.5304  61.4986  0.0305
36000  0  0.9969  -0.0017  -0.0787  59.4459  31.5310  61.4983  0.0310
38400  0  0.9964  -0.0019  -0.0853  59.4409  31.5313  61.4980  0.0314
40800  0  0.9957  -0.0020  -0.0922  59.4367  31.5314  61.4977  0.0315
43200  0  0.9950  -0.0022  -0.0995  59.4334  31.5314  61.4971  0.0315
45600  0  0.9942  -0.0023  -0.1071  59.4303  31.5312  61.4966  0.0313
48000  0  0.9933  -0.0025  -0.1152  59.4270  31.5308  61.4961  0.0311
50400  0  0.9923  -0.0027  -0.1237  59.4229  31.5303  61.4957  0.0306
52800  0  0.9912  -0.0030  -0.1326  59.4176  31.5297  61.4950  0.0301
55200  0  0.9898  -0.0032  -0.1421  59.4122  31.5289  61.4945  0.0294
57600  0  0.9883  -0.0034  -0.1522  59.4080  31.5279  61.4936  0.0286
60000  0  0.9866  -0.0037  -0.1632  59.4043  31.5267  61.4929  0.0276
62400  0  0.9846  -0.0039  -0.1750  59.4004  31.5252  61.4922  0.0264
64800  0  0.9822  -0.0042  -0.1878  59.3954  31.5237  61.4916  0.0251
67200  0  0.9795  -0.0046  -0.2016  59.3908  31.5220  61.4910  0.0238
69600  0  0.9762  -0.0049  -0.2167  59.3883  31.5199  61.4900  0.0223
72000  0  0.9724  -0.0052  -0.2334  59.3852  31.5176  61.4893  0.0206
74400  0  0.9678  -0.0056  -0.2518  59.3813  31.5150  61.4885  0.0189
76800  0  0.9623  -0.0060  -0.2721  59.3789  31.5121  61.4875  0.0174
79200  0  0.9555  -0.0064  -0.2950  59.3755  31.5088  61.4867  0.0160
81600  0  0.9471  -0.0069  -0.3209  59.3711  31.5052  61.4859  0.0150
84000  0  0.9366  -0.0074  -0.3504  59.3683  31.5010  61.4851  0.0150
86400  0  0.9232  -0.0079  -0.3842  59.3656  31.4963  61.4842  0.0162
88800  0  0.9059  -0.0084  -0.4235  59.3624  31.4912  61.4835  0.0187
91200  0  0.8830  -0.0089  -0.4693  59.3604  31.4850  61.4821  0.0233
93600  0  0.8523  -0.0096  -0.5230  59.3565  31.4782  61.4825  0.0279
96000  0  0.8102  -0.0102  -0.5861  59.3520  31.4705  61.4833  0.0339
98400  0  0.7516  -0.0107  -0.6595  59.3486  31.4615  61.4846  0.0415
100800  0  0.6692  -0.0111  -0.7430  59.3434  31.4508  61.4876  0.0507
103200  0  0.5538  -0.0110  -0.8325  59.3389  31.4376  61.4916  0.0629
105600  0  0.3967  -0.0098  -0.9179  59.3361  31.4213  61.4947  0.0789
108000  0  0.1959  -0.0073  -0.9806  59.3347  31.4012  61.4961  0.0989
110400  0  -0.0333  -0.0035  -0.9994  59.3339  31.3780  61.4968  0.1221
112800  0  -0.2595  0.0011  -0.9657  59.3339  31.3544  61.4975  0.1456
115200  0  -0.4520  0.0053  -0.8920  59.3341  31.3328  61.4976  0.1672
117600  0  -0.5987  0.0083  -0.8009  59.3334  31.3148  61.4966  0.1852
120000  0  -0.7036  0.0100  -0.7105  59.3301  31.3018  61.4932  0.1984
122400  0  -0.7774  0.0104  -0.6290  59.3230  31.2932  61.4883  0.2072
124800  0  -0.8294  0.0103  -0.5586  59.3153  31.2879  61.4842  0.2127
127200  0  -0.8666  0.0099  -0.4989  59.3038  31.2848  61.4802  0.2161
129600  0  -0.8938  0.0092  -0.4483  59.2947  31.2835  61.4772  0.2177
132000  0  -0.9142  0.0086  -0.4053  59.2850  31.2831  61.4751  0.2183
134400  0  -0.9297  0.0079  -0.3683  59.2753  31.2834  61.4728  0.2183
136800  0  -0.9417  0.0072  -0.3364  59.2652  31.2844  61.4710  0.2175
