50000  0.3476
100000  0.4476
150000  0.5810
200000  0.5619
250000  0.6333
300000  0.7667
350000  0.7667
400000  0.7857
450000  0.8286
500000  0.8619
550000  0.9000
600000  0.9524
650000  0.9524
700000  0.9381
750000  0.9524
800000  0.9571
850000  0.9476
900000  0.9571
950000  0.9571
1000000  0.9524
1050000  0.9619
1100000  0.9714
1150000  0.9810
1200000  0.9905
1250000  0.9905
1300000  0.9857
1350000  0.9714
1400000  0.9667
1450000  0.9762
1500000  0.9619
1550000  0.9714
1600000  0.9714
1650000  0.9667
1700000  0.9714
1750000  0.9714
1800000  0.9667
1850000  0.9810
1900000  0.9810
1950000  0.9810
2000000  0.9905
