10000  9.5164  1.5880
20000  9.4133  2.0691
30000  9.2250  2.4923
40000  8.9230  2.8087
50000  8.5377  2.9014
60000  8.1519  3.0226
70000  8.0394  3.0544
80000  8.1631  3.0481
90000  7.5265  2.9961
100000  7.1513  2.9599
110000  6.6632  2.9563
120000  7.8199  3.0040
130000  8.4716  3.0070
140000  8.5326  3.0068
150000  8.0984  2.9711
160000  7.9099  2.9748
170000  7.7249  2.9713
180000  7.2492  2.9725
190000  6.7982  2.9854
200000  6.6705  3.0228
210000  6.7800  3.0304
220000  6.7345  3.0214
230000  6.5404  3.0193
240000  6.7973  3.0094
250000  6.9435  2.9629
260000  7.1133  2.9272
270000  7.2678  2.8696
280000  7.4811  2.8402
290000  7.7414  2.8000
300000  7.9069  2.7338
310000  7.9732  2.6583
320000  7.5017  2.6419
330000  7.2557  2.6220
340000  7.0049  2.6239
350000  8.0270  2.6333
360000  7.9707  2.6637
370000  8.0436  2.6657
380000  7.8233  2.7337
390000  7.8588  2.7489
400000  7.6360  2.7003
410000  7.6546  2.6377
420000  7.4620  2.6351
430000  7.4563  2.5875
440000  7.3671  2.6210
450000  7.2886  2.6084
460000  7.2995  2.6121
470000  7.2615  2.5399
480000  7.2362  2.4274
490000  7.2730  2.3211
500000  7.3193  2.1957
510000  7.3207  2.1825
520000  7.2689  2.3427
530000  7.2392  2.5463
540000  7.2805  2.7403
550000  7.4009  2.8708
560000  7.5132  2.9320
570000  7.5561  3.0249
580000  7.6907  3.0436
590000  7.8375  3.0687
600000  7.8619  3.0768
610000  8.0615  3.0533
620000  8.1849  3.0505
630000  8.2074  3.0332
640000  8.4837  2.9861
650000  8.4782  2.9530
660000  8.6366  2.9286
670000  8.8176  2.8380
680000  8.7421  2.7390
690000  9.1418  2.6789
700000  9.2168  2.6671
710000  9.3050  2.7215
720000  9.9184  2.7924
730000  10.7724  2.7088
740000  12.3938  2.5938
750000  14.9367  2.6518
760000  16.3815  2.7452
770000  16.2693  2.6487
780000  16.2311  2.6200
790000  16.2553  2.5986
800000  16.2868  2.7256
810000  16.2371  2.6868
820000  16.2306  2.6102
830000  16.2180  2.5552
840000  16.1118  2.5313
850000  16.0332  2.5450
860000  15.9160  2.5807
870000  15.8535  2.6451
880000  15.8801  2.6359
890000  15.8948  2.6475
900000  15.9428  2.6695
910000  15.9659  2.6508
920000  16.0281  2.6111
930000  16.0584  2.5367
940000  16.1030  2.4589
950000  16.1207  2.4238
960000  16.1711  2.3605
970000  16.2055  2.2851
980000  16.2309  2.1815
990000  16.3048  2.0541
1000000  16.4100  1.9125
1010000  16.4482  1.8729
1020000  16.4350  2.0924
1030000  16.4029  2.3405
1040000  16.4338  2.4678
1050000  16.4680  2.6362
1060000  16.4815  2.7309
1070000  16.4834  2.7630
1080000  16.4547  2.8150
1090000  16.4379  2.8052
1100000  16.4424  2.8234
1110000  16.4573  2.8215
1120000  16.4785  2.7905
1130000  16.5004  2.7536
1140000  16.5190  2.7443
1150000  16.5614  2.6818
1160000  16.6314  2.6276
1170000  16.7051  2.7716
1180000  16.7629  2.8043
1190000  16.7767  2.7653
1200000  16.8100  2.7868
1210000  16.9283  2.7015
1220000  17.0774  2.7090
1230000  17.0042  2.6115
1240000  16.9961  2.6537
1250000  17.0393  2.6734
1260000  16.9428  2.7715
1270000  16.9912  2.7962
1280000  17.0138  2.7571
1290000  16.9417  2.6766
1300000  16.8782  2.6399
1310000  16.7185  2.5898
1320000  16.6248  2.6375
1330000  16.5468  2.6615
1340000  16.6155  2.5667
1350000  16.6845  2.7500
1360000  16.5094  2.7532
1370000  16.4624  2.6877
1380000  16.5003  2.6295
1390000  16.4886  2.4534
1400000  16.4689  2.6205
1410000  16.4479  2.5697
1420000  16.4447  2.5493
1430000  16.4414  2.5590
1440000  16.4743  2.4728
1450000  16.5530  2.3947
1460000  16.6297  2.3718
1470000  16.7129  2.2843
1480000  16.8316  2.2460
1490000  16.9533  2.1258
1500000  17.0118  1.9649
1510000  17.0134  1.8919
1520000  17.0233  2.0892
1530000  17.0193  2.3203
1540000  17.0507  2.5119
1550000  17.0847  2.6106
1560000  17.0935  2.7261
1570000  17.0902  2.7736
1580000  17.0854  2.8247
1590000  17.0855  2.8330
1600000  17.0852  2.8458
1610000  17.0891  2.8718
1620000  17.1014  2.8489
1630000  17.1099  2.8081
1640000  17.1292  2.8000
1650000  17.1789  2.6792
1660000  17.2343  2.5418
1670000  17.2835  2.5023
1680000  17.2772  2.5165
1690000  17.1045  2.5269
1700000  16.9448  2.5106
1710000  16.8190  2.6394
1720000  16.7092  2.7581
1730000  16.7542  2.7780
1740000  16.7025  2.6474
1750000  16.5683  2.6044
1760000  16.5485  2.7098
1770000  16.5572  2.4436
1780000  16.4383  2.7214
1790000  16.4789  2.7756
1800000  16.6927  2.7145
1810000  16.7716  2.6550
1820000  16.6920  2.7186
1830000  16.6056  2.7337
1840000  16.6023  2.5699
1850000  16.6967  2.7032
1860000  16.7715  2.6919
1870000  16.8191  2.6838
1880000  16.8498  2.6964
1890000  16.9440  2.6324
1900000  16.9601  2.6499
1910000  17.0356  2.6478
1920000  17.0907  2.6493
1930000  17.1223  2.6262
1940000  17.1951  2.6144
1950000  17.2393  2.6502
1960000  17.3150  2.6197
1970000  17.3521  2.5449
1980000  17.4598  2.4229
1990000  17.5093  2.2970
2000000  17.5832  2.1776
