 0  0  6.00   896.69   0.300   0.040   0.131   877.5007    37.7632     8.4015   0.001346   0.000010   0.000002
 0  0  6.00   896.67   0.300   0.024   0.136   728.5944    26.5337     8.8507   0.001341   0.000014   0.000003
 1  1  6.00   896.32   0.300   0.063   0.248   983.9948    47.4000     9.8372   0.001291  -0.000003  -0.000006
 2  1  6.00   896.33   0.300   0.058   0.247   170.4850    43.3241     9.8140   0.001307  -0.000003  -0.000002
 3  1  6.00   896.65   0.300   0.029   0.140   876.8281    20.6403     8.8181   0.001370   0.000008   0.000005
 4  1  6.00   896.56   0.300   0.033   0.175   592.5459    35.4719     9.2367   0.001355  -0.000000  -0.000005
 5  1  6.00   896.67   0.300   0.015   0.146   267.4676    21.7234     8.8826   0.001358   0.000002   0.000005
 0  0  6.00   896.38   0.300   0.056   0.216   642.8235    37.4331     9.7463   0.001304  -0.000000  -0.000005
 0  0  6.00   896.26   0.300   0.065   0.246    66.5162    28.9825     9.8539   0.001312  -0.000009  -0.000008
 0  0  6.00   896.68   0.300   0.039   0.147   689.8442    26.5526     8.1104   0.001350  -0.000001   0.000006
 0  0  6.00   896.68   0.300   0.007   0.130    84.7854    35.2202     8.6303   0.001366  -0.000018  -0.000002
 6  1  6.00   896.32   0.300   0.069   0.233   841.0788    36.7240     9.8199   0.001290  -0.000004  -0.000010
 0  0  6.00   896.69   0.300   0.007   0.124   237.8596    47.5834     8.4389   0.001327  -0.000003   0.000002
 0  0  6.00   896.67   0.300   0.004   0.132   208.9453    34.1877     8.5291   0.001360   0.000003   0.000003
 0  0  6.00   896.64   0.300   0.025   0.151   162.4426    26.3209     9.1022   0.001346  -0.000003   0.000001
 0  0  6.00   896.64   0.300   0.021   0.154   228.5759    19.0618     8.9270   0.001359  -0.000001  -0.000003
 0  0  6.00   896.68   0.300   0.108   0.141   927.7897    22.5777     8.7430   0.001359   0.000000  -0.000000
 7  1  6.00   896.35   0.300   0.098   0.229   985.7969    16.0738     9.7711   0.001286  -0.000003  -0.000003
 0  0  6.00   896.71   0.300   0.019   0.137   816.1320    25.0456     8.8244   0.001354  -0.000028  -0.000003
 0  0  6.00   896.37   0.300   0.061   0.228   488.1136    29.3993     9.7315   0.001313   0.000001  -0.000010
 0  0  6.00   896.66   0.300   0.023   0.151    37.1221    26.3490     8.0286   0.001350   0.000015   0.000003
 0  0  6.00   896.20   0.300   0.080   0.262   711.9840    34.1642     9.9104   0.001306   0.000005  -0.000009
 0  0  6.00   896.34   0.300   0.079   0.237   771.6027    46.9806     9.7395   0.001314  -0.000006  -0.000011
 5  1  6.00   896.67   0.300   0.010   0.134   303.0635    18.8093     8.6503   0.001359  -0.000002  -0.000004
