10000  0.0000  0  -nan  -nan  -nan
20000  0.0000  0  -nan  -nan  -nan
30000  0.0000  0  -nan  -nan  -nan
40000  0.0000  0  -nan  -nan  -nan
50000  0.0000  0  -nan  -nan  -nan
60000  0.0000  0  -nan  -nan  -nan
70000  0.0000  0  -nan  -nan  -nan
80000  0.0750  1  3.0000  36.7732  0.0368
90000  0.1000  1  4.0000  57.2188  0.0572
100000  0.2000  2  4.0000  52.4758  0.0525
110000  0.2750  3  3.6667  44.8828  0.0449
120000  0.2500  3  3.3333  38.0950  0.0381
130000  0.3500  4  3.5000  42.3802  0.0424
140000  0.3750  4  3.7500  46.2111  0.0462
150000  0.3750  4  3.7500  46.3267  0.0463
160000  0.3750  4  3.7500  46.5577  0.0466
170000  0.4500  4  4.5000  59.2708  0.0593
180000  0.5250  5  4.2000  54.1596  0.0542
190000  0.5500  4  5.5000  76.6603  0.0767
200000  0.5500  4  5.5000  76.6771  0.0767
210000  0.6250  5  5.0000  68.6516  0.0687
220000  0.7250  6  4.8333  66.1339  0.0661
230000  0.7500  6  5.0000  69.5357  0.0695
240000  0.7250  6  4.8333  65.7997  0.0658
250000  0.7250  6  4.8333  65.6014  0.0656
260000  0.7250  6  4.8333  65.4789  0.0655
270000  0.7250  6  4.8333  65.4095  0.0654
280000  0.7250  6  4.8333  65.4358  0.0654
290000  0.7000  6  4.6667  61.9580  0.0620
300000  0.7000  6  4.6667  61.9918  0.0620
310000  0.7000  6  4.6667  62.0426  0.0620
320000  0.7000  6  4.6667  62.1261  0.0621
330000  0.7000  6  4.6667  62.2404  0.0622
340000  0.7000  6  4.6667  62.4151  0.0624
350000  0.7000  6  4.6667  62.6536  0.0627
360000  0.7000  6  4.6667  62.9066  0.0629
370000  0.7250  6  4.8333  66.4872  0.0665
380000  0.7250  6  4.8333  66.5704  0.0666
390000  0.7250  6  4.8333  66.6704  0.0667
400000  0.7250  6  4.8333  66.7875  0.0668
410000  0.7250  6  4.8333  66.9281  0.0669
420000  0.7500  6  5.0000  70.5743  0.0706
430000  0.7500  6  5.0000  70.6889  0.0707
440000  0.7250  6  4.8333  67.3216  0.0673
450000  0.7250  6  4.8333  67.4565  0.0675
460000  0.7250  6  4.8333  67.5975  0.0676
470000  0.7250  6  4.8333  67.7543  0.0678
480000  0.7000  6  4.6667  64.4577  0.0645
490000  0.7000  6  4.6667  64.6569  0.0647
500000  0.7500  7  4.2857  57.7489  0.0577
510000  0.7500  7  4.2857  57.8632  0.0579
520000  0.7250  7  4.1429  55.0078  0.0550
530000  0.7250  7  4.1429  55.1764  0.0552
540000  0.7250  7  4.1429  55.2057  0.0552
550000  0.7250  7  4.1429  55.2472  0.0552
560000  0.7000  7  4.0000  52.3043  0.0523
570000  0.7000  7  4.0000  52.3702  0.0524
580000  0.7000  7  4.0000  52.4410  0.0524
590000  0.6750  7  3.8571  49.5410  0.0495
600000  0.6750  7  3.8571  49.6698  0.0497
610000  0.6750  7  3.8571  49.8160  0.0498
620000  0.7000  7  4.0000  52.9313  0.0529
630000  0.7000  7  4.0000  52.9256  0.0529
640000  0.6750  7  3.8571  49.9277  0.0499
650000  0.6750  7  3.8571  49.9395  0.0499
660000  0.6750  7  3.8571  49.9789  0.0500
670000  0.6250  7  3.5714  44.0401  0.0440
680000  0.6250  7  3.5714  44.1256  0.0441
690000  0.6250  7  3.5714  44.1977  0.0442
700000  0.6250  7  3.5714  44.2142  0.0442
710000  0.6250  7  3.5714  44.2407  0.0442
720000  0.6000  7  3.4286  41.2818  0.0413
730000  0.6000  7  3.4286  41.3179  0.0413
740000  0.6000  7  3.4286  41.3617  0.0414
750000  0.6000  7  3.4286  41.4348  0.0414
760000  0.6000  7  3.4286  41.5219  0.0415
770000  0.6000  7  3.4286  41.6079  0.0416
780000  0.6000  7  3.4286  41.6911  0.0417
790000  0.6000  7  3.4286  41.7873  0.0418
800000  0.6000  7  3.4286  41.8997  0.0419
810000  0.6500  7  3.7143  47.9520  0.0480
820000  0.6750  7  3.8571  50.7391  0.0507
830000  0.6750  7  3.8571  50.5654  0.0506
840000  0.6750  7  3.8571  50.4218  0.0504
850000  0.6750  7  3.8571  50.3430  0.0503
860000  0.6500  7  3.7143  47.3464  0.0473
870000  0.6500  7  3.7143  47.3785  0.0474
