20000  0.3746  0.9868
40000  0.3776  0.9948
60000  0.3784  0.9969
80000  0.3785  0.9972
100000  0.3786  0.9974
120000  0.3786  0.9972
140000  0.3784  0.9969
160000  0.3783  0.9964
180000  0.3781  0.9959
200000  0.3779  0.9956
220000  0.3778  0.9951
240000  0.3776  0.9947
260000  0.3774  0.9943
280000  0.3773  0.9938
300000  0.3771  0.9933
320000  0.3769  0.9928
340000  0.3767  0.9923
360000  0.3765  0.9918
380000  0.3763  0.9912
400000  0.3761  0.9907
420000  0.3758  0.9899
440000  0.3755  0.9893
460000  0.3752  0.9883
480000  0.3748  0.9873
500000  0.3748  0.9873
520000  0.3746  0.9867
540000  0.3746  0.9868
560000  0.3743  0.9859
580000  0.3740  0.9853
600000  0.3732  0.9830
620000  0.3734  0.9835
640000  0.3736  0.9841
660000  0.3732  0.9832
680000  0.3729  0.9822
700000  0.3725  0.9812
720000  0.3727  0.9818
740000  0.3723  0.9807
760000  0.3722  0.9805
780000  0.3723  0.9806
800000  0.3721  0.9801
