500  0.76128
1000  0.97684
1500  1.08115
2000  1.11336
2500  1.12344
3000  1.12898
3500  1.13451
4000  1.14026
4500  1.14651
5000  1.15290
5500  1.15933
6000  1.16561
6500  1.17160
7000  1.17738
7500  1.18268
8000  1.18763
8500  1.19211
9000  1.19627
9500  1.19991
10000  1.20328
10500  1.20618
11000  1.20878
11500  1.21117
12000  1.21321
12500  1.21501
13000  1.21666
13500  1.21802
14000  1.21937
14500  1.22049
15000  1.22148
15500  1.22227
16000  1.22305
16500  1.22361
17000  1.22413
17500  1.22463
18000  1.22503
18500  1.22539
19000  1.22572
19500  1.22599
20000  1.22624
20500  1.22651
21000  1.22664
21500  1.22678
22000  1.22687
22500  1.22694
23000  1.22702
23500  1.22704
24000  1.22714
24500  1.22717
25000  1.22725
25500  1.22738
26000  1.22746
26500  1.22752
27000  1.22752
27500  1.22754
28000  1.22753
28500  1.22747
29000  1.22745
29500  1.22748
30000  1.22747
30500  1.22745
31000  1.22747
31500  1.22756
32000  1.22752
32500  1.22752
33000  1.22750
33500  1.22752
34000  1.22745
34500  1.22738
35000  1.22733
35500  1.22735
36000  1.22735
36500  1.22737
37000  1.22742
37500  1.22745
38000  1.22739
38500  1.22739
39000  1.22741
39500  1.22735
40000  1.22731
40500  1.22728
41000  1.22721
41500  1.22717
42000  1.22715
42500  1.22716
43000  1.22726
43500  1.22727
44000  1.22720
44500  1.22721
45000  1.22719
45500  1.22712
46000  1.22714
46500  1.22707
47000  1.22706
47500  1.22705
48000  1.22698
48500  1.22693
49000  1.22701
49500  1.22702
50000  1.22704
50500  1.22708
51000  1.22702
51500  1.22698
52000  1.22696
52500  1.22687
53000  1.22687
53500  1.22688
54000  1.22684
54500  1.22690
55000  1.22690
55500  1.22689
56000  1.22688
56500  1.22692
57000  1.22693
57500  1.22688
58000  1.22685
58500  1.22679
59000  1.22674
59500  1.22671
60000  1.22673
60500  1.22684
61000  1.22684
61500  1.22685
62000  1.22686
62500  1.22680
63000  1.22674
63500  1.22671
64000  1.22676
64500  1.22671
65000  1.22671
65500  1.22671
66000  1.22676
66500  1.22676
67000  1.22674
67500  1.22681
68000  1.22678
68500  1.22672
69000  1.22667
69500  1.22661
70000  1.22663
70500  1.22665
71000  1.22663
71500  1.22667
72000  1.22669
72500  1.22666
73000  1.22664
73500  1.22669
74000  1.22667
74500  1.22669
75000  1.22662
75500  1.22663
76000  1.22664
76500  1.22660
77000  1.22659
77500  1.22658
78000  1.22659
78500  1.22658
79000  1.22659
79500  1.22659
80000  1.22652
80500  1.22651
81000  1.22648
81500  1.22650
82000  1.22653
82500  1.22653
83000  1.22653
83500  1.22647
84000  1.22644
84500  1.22639
85000  1.22639
85500  1.22639
86000  1.22633
86500  1.22634
87000  1.22632
87500  1.22633
88000  1.22633
88500  1.22637
89000  1.22638
89500  1.22630
90000  1.22622
90500  1.22622
91000  1.22619
91500  1.22619
92000  1.22620
92500  1.22617
93000  1.22610
93500  1.22615
94000  1.22617
94500  1.22618
95000  1.22617
95500  1.22612
96000  1.22608
96500  1.22602
97000  1.22600
97500  1.22594
98000  1.22591
98500  1.22597
99000  1.22592
99500  1.22595
100000  1.22600
