100000  10.2986  2.9566
200000  14.4126  2.9777
300000  16.6662  2.9460
400000  17.6874  2.7097
500000  16.4681  2.2148
600000  19.3159  2.0169
700000  18.9187  2.1302
800000  19.7178  2.1480
900000  19.5659  2.1367
1000000  19.9277  2.0851
1100000  20.0770  2.1430
1200000  20.1433  2.1324
1300000  20.5257  2.1047
1400000  20.4002  2.0637
1500000  20.7908  2.1519
1600000  20.5870  2.0401
1700000  20.7446  2.0835
1800000  20.6811  2.0366
1900000  20.6798  2.0690
2000000  20.7703  2.0850
2100000  20.5592  2.0681
2200000  20.8409  2.0655
2300000  19.9180  2.0326
2400000  20.8637  2.0382
2500000  20.0865  2.0582
2600000  20.9669  2.0045
2700000  20.3130  2.0403
2800000  20.9187  1.9237
2900000  20.6118  1.9802
3000000  20.9724  1.9949
