0  0  1.0000  0.0000  0.0000  31.5000  31.5000  31.5000  0.0000
2260  0  1.0000  0.0000  -0.0019  31.5000  31.5000  31.5000  0.0000
4520  0  1.0000  0.0000  -0.0052  31.5000  31.5000  31.5000  0.0000
6780  0  1.0000  0.0000  -0.0086  31.5000  31.5000  31.5000  0.0000
9040  0  0.9999  0.0000  -0.0119  31.5000  31.5000  31.5000  0.0000
11300  0  0.9999  0.0000  -0.0153  31.5000  31.5000  31.5000  0.0000
13560  0  0.9998  0.0000  -0.0186  31.5000  31.5000  31.5000  0.0000
15820  0  0.9998  0.0000  -0.0220  31.5000  31.5000  31.5000  0.0000
18080  0  0.9997  0.0000  -0.0253  31.5000  31.5000  31.5000  0.0000
20340  0  0.9996  0.0000  -0.0287  31.5000  31.5000  31.5000  0.0000
22600  0  0.9995  0.0000  -0.0320  31.5000  31.5000  31.5000  0.0000
24860  0  0.9994  0.0000  -0.0354  31.5000  31.5000  31.5000  0.0000
27120  0  0.9992  0.0000  -0.0387  31.5000  31.5000  31.5000  0.0000
29380  0  0.9991  0.0000  -0.0421  31.5000  31.5000  31.5000  0.0000
31640  0  0.9990  0.0000  -0.0455  31.5000  31.5000  31.5000  0.0000
33900  0  0.9988  0.0000  -0.0488  31.5000  31.5000  31.5000  0.0000
36160  0  0.9986  0.0000  -0.0522  31.5000  31.5000  31.5000  0.0000
38420  0  0.9985  0.0000  -0.0555  31.5000  31.5000  31.5000  0.0000
40680  0  0.9983  0.0000  -0.0589  31.5000  31.5000  31.5000  0.0000
42940  0  0.9981  0.0000  -0.0622  31.5000  31.5000  31.5000  0.0000
45200  0  0.9978  0.0000  -0.0656  31.5000  31.5000  31.5000  0.0000
47460  0  0.9976  0.0000  -0.0690  31.5000  31.5000  31.5000  0.0000
49720  0  0.9974  0.0000  -0.0723  31.5000  31.5000  31.5000  0.0000
51980  0  0.9971  0.0000  -0.0757  31.5000  31.5000  31.5000  0.0000
54240  0  0.9969  0.0000  -0.0790  31.5000  31.5000  31.5000  0.0000
56500  0  0.9966  0.0000  -0.0824  31.5000  31.5000  31.5000  0.0000
58760  0  0.9963  0.0000  -0.0858  31.5000  31.5000  31.5000  0.0000
61020  0  0.9960  0.0000  -0.0891  31.5000  31.5000  31.5000  0.0000
63280  0  0.9957  0.0000  -0.0925  31.5000  31.5000  31.5000  0.0000
65540  0  0.9954  0.0000  -0.0959  31.5000  31.5000  31.5000  0.0000
67800  0  0.9951  0.0000  -0.0993  31.5000  31.5000  31.5000  0.0000
70060  0  0.9947  0.0000  -0.1026  31.5000  31.5000  31.5000  0.0000
72320  0  0.9944  0.0000  -0.1060  31.5000  31.5000  31.5000  0.0000
74580  0  0.9940  0.0000  -0.1094  31.5000  31.5000  31.5000  0.0000
76840  0  0.9936  0.0000  -0.1128  31.5000  31.5000  31.5000  0.0000
79100  0  0.9932  0.0000  -0.1161  31.5000  31.5000  31.5000  0.0000
81360  0  0.9928  0.0000  -0.1195  31.5000  31.5000  31.5000  0.0000
83620  0  0.9924  0.0000  -0.1229  31.5000  31.5000  31.5000  0.0000
85880  0  0.9920  0.0000  -0.1262  31.5000  31.5000  31.5000  0.0000
88140  0  0.9916  0.0000  -0.1296  31.5000  31.5000  31.5000  0.0000
90400  0  0.9911  0.0000  -0.1330  31.5000  31.5000  31.5000  0.0000
92660  0  0.9907  0.0000  -0.1363  31.5000  31.5000  31.5000  0.0000
94920  0  0.9902  0.0000  -0.1397  31.5000  31.5000  31.5000  0.0000
97180  0  0.9897  0.0000  -0.1431  31.5000  31.5000  31.5000  0.0000
99440  0  0.9892  0.0000  -0.1465  31.5000  31.5000  31.5000  0.0000
101700  0  0.9887  0.0000  -0.1498  31.5000  31.5000  31.5000  0.0000
103960  0  0.9882  0.0000  -0.1532  31.5000  31.5000  31.5000  0.0000
106220  0  0.9877  0.0000  -0.1566  31.5000  31.5000  31.5000  0.0000
108480  0  0.9871  0.0000  -0.1599  31.5000  31.5000  31.5000  0.0000
110740  0  0.9866  0.0000  -0.1633  31.5000  31.5000  31.5000  0.0000
113000  0  0.9860  0.0000  -0.1666  31.5000  31.5000  31.5000  0.0000
115260  0  0.9854  0.0000  -0.1700  31.5000  31.5000  31.5000  0.0000
117520  0  0.9849  0.0000  -0.1734  31.5000  31.5000  31.5000  0.0000
119780  0  0.9843  0.0000  -0.1767  31.5000  31.5000  31.5000  0.0000
122040  0  0.9837  0.0000  -0.1801  31.5000  31.5000  31.5000  0.0000
124300  0  0.9830  0.0000  -0.1834  31.5000  31.5000  31.5000  0.0000
126560  0  0.9824  0.0000  -0.1868  31.5000  31.5000  31.5000  0.0000
128820  0  0.9818  0.0000  -0.1901  31.5000  31.5000  31.5000  0.0000
131080  0  0.9811  0.0000  -0.1935  31.5000  31.5000  31.5000  0.0000
