50000  9.0879  2.8823
100000  9.0787  2.8275
150000  9.7118  2.5880
200000  9.2739  3.0335
250000  8.3255  2.8485
300000  8.1610  2.7282
350000  8.1025  2.2613
400000  7.4367  2.8299
450000  7.2028  2.7180
500000  7.2862  2.6019
550000  7.3907  2.1618
600000  7.0042  2.7136
650000  7.2186  2.7426
700000  7.7068  2.5489
750000  7.7740  2.0065
800000  7.4569  2.7089
850000  7.7298  2.7512
900000  8.0163  2.4913
950000  8.0249  2.0350
1000000  7.5985  2.6019
1050000  7.6627  2.5378
1100000  7.9939  2.5447
1150000  8.1817  1.9878
1200000  7.6894  2.6281
1250000  7.4562  2.4465
1300000  7.4795  2.3518
1350000  7.6583  1.9402
1400000  7.0856  2.4758
1450000  7.1478  2.5431
1500000  8.6966  2.4904
1550000  9.5993  1.9961
1600000  9.2981  2.4787
1650000  10.0114  2.4535
1700000  11.0046  2.3419
1750000  11.6947  1.9291
1800000  11.1294  2.4348
1850000  12.1752  2.4245
1900000  12.3920  2.3593
1950000  13.0876  1.9584
2000000  12.7694  2.4025
