 1  1  6.00   884.39   0.300   0.164   5.841   254.0102    18.4342     8.7427   0.008788   0.000047   0.000005
 2  1  6.00   883.35   0.300   0.160   6.750     0.9471    20.7110     8.7733   0.008818   0.000088  -0.000001
 3  1  6.00   883.94   0.300   0.185   6.410   936.0263    16.9418     8.7828   0.008648  -0.000020   0.000006
 4  1  6.00   885.35   0.300   0.230   6.945   219.0233    25.4454     9.2840   0.008871  -0.000014  -0.000003
 5  1  6.00   883.80   0.300   0.171   6.423   665.1340    21.9088     8.7766   0.008744  -0.000028  -0.000003
 0  0  6.00   884.20   0.300   0.204   5.884   803.0820    28.2145     9.0258   0.008874  -0.000056  -0.000009
 0  0  6.00   883.46   0.300   0.137   6.344   862.8253    38.5897     8.6794   0.008697   0.000103   0.000002
 6  1  6.00   883.72   0.300   0.169   6.451    11.7111    36.6176     8.7997   0.008727   0.000047   0.000011
 7  1  6.00   884.30   0.300   0.145   5.992   787.6116    39.6378     8.9710   0.008785   0.000076   0.000006
 4  1  6.00   883.60   0.300   0.181   6.666   173.5170    22.3031     9.0213   0.008878   0.000023   0.000006
 8  1  6.00   883.50   0.300   0.195   6.720   157.9829    41.4654     8.8902   0.008843  -0.000003  -0.000011
 0  0  6.00   883.30   0.300   0.179   6.918   728.5555    22.7943     8.6171   0.008937   0.000053   0.000000
 7  1  6.00   883.59   0.300   0.128   7.282   743.3176    41.9020     8.8752   0.008644   0.000003   0.000009
 0  0  6.00   883.73   0.300   0.187   6.645   370.5775    45.6018     8.9391   0.008705  -0.000069  -0.000005
 0  0  6.00   884.83   0.300   0.129   6.049   343.5502    16.2571     8.6347   0.008593  -0.000008  -0.000006
 0  0  6.00   883.78   0.300   0.135   6.296   592.8053    37.7905     8.7284   0.008698   0.000021   0.000003
 9  1  6.00   883.73   0.300   0.211   6.415   958.0246    44.8722     9.1034   0.008743  -0.000091  -0.000002
 8  1  6.00   885.22   0.300   0.223   5.823   125.0165    45.2564     9.2091   0.008845  -0.000029  -0.000002
 0  0  6.00   884.82   0.300   0.210   5.698   141.4549    28.7349     9.0383   0.008901  -0.000074  -0.000004
10  1  6.00   883.11   0.300   0.225   6.969   788.7236    22.7909     8.8991   0.008790   0.000044   0.000002
 0  0  6.00   883.83   0.300   0.165   6.469    81.4626    17.7176     8.7137   0.008654   0.000054   0.000000
 2  1  6.00   883.05   0.300   0.180   6.853    38.2736    19.3359     8.7698   0.008687   0.000051   0.000000
 7  1  6.00   884.02   0.300   0.184   6.085   730.4036    45.3044     8.8837   0.008684  -0.000085   0.000004
11  1  6.00   883.87   0.300   0.286   6.203   892.2556    40.0349     8.9919   0.008874   0.000021   0.000001
 0  0  6.00   883.54   0.300   0.129   6.962   544.7358    44.4840     8.7472   0.008778   0.000025  -0.000000
 0  0  6.00   882.79   0.300   0.230   6.745   430.6511    28.9252     8.9162   0.008779   0.000083  -0.000005
 5  1  6.00   883.65   0.300   0.166   6.706   648.2114    20.7117     8.9365   0.008827  -0.000008  -0.000008
12  1  6.00   883.90   0.300   0.182   6.333   314.1338    42.1776     8.9332   0.008768   0.000049   0.000006
 0  0  6.00   883.73   0.300   0.120   6.507   703.7928    24.7507     8.5025   0.008845  -0.000049   0.000001
 0  0  6.00   883.91   0.300   0.208   6.192    93.5324    28.8548     8.9356   0.008823  -0.000110   0.000003
 0  0  6.00   884.38   0.300   0.178   6.149   410.7076    19.4989     8.8668   0.008907  -0.000020  -0.000004
 0  0  6.00   884.72   0.300   0.177   5.643   397.9570    47.3463     8.7869   0.008704  -0.000030  -0.000003
 0  0  6.00   883.36   0.300   0.210   6.986   128.0207    27.1063     9.0537   0.008864  -0.000052  -0.000001
 0  0  6.00   883.73   0.300   0.192  55.174   387.9307    41.8077     8.8022   0.008646   0.000037  -0.000003
 8  1  6.00   883.51   0.300   0.219   6.037   253.4560    40.2743     8.9965   0.008794   0.000030  -0.000004
13  1  6.00   884.51   0.300   0.206   6.472    40.8900    46.7653     9.2575   0.008762  -0.000033  -0.000009
14  1  6.00   883.68   0.300   0.127   6.249   474.8282    21.3284     8.6847   0.008815   0.000006   0.000001
 8  1  6.00   883.82   0.300   0.200   6.489   238.2438    44.1398     9.0285   0.008811   0.000017  -0.000004
