10000  0.3000  11  3.8182  45.6977  0.0457
20000  0.3714  13  4.0000  49.0211  0.0490
30000  0.3571  12  4.1667  51.4199  0.0514
40000  0.4214  15  3.9333  46.3562  0.0464
50000  0.4071  14  4.0714  48.0902  0.0481
60000  0.4500  16  3.9375  45.5809  0.0456
70000  0.5500  17  4.5294  56.0431  0.0560
80000  0.5786  17  4.7647  61.1525  0.0612
90000  0.5286  15  4.9333  63.4018  0.0634
100000  0.5500  16  4.8125  61.0726  0.0611
110000  0.5500  16  4.8125  61.7026  0.0617
120000  0.6429  15  6.0000  80.0678  0.0801
130000  0.7071  18  5.5000  69.3028  0.0693
140000  0.6714  18  5.2222  63.4963  0.0635
150000  0.6643  16  5.8125  72.7753  0.0728
160000  0.7000  17  5.7647  71.9084  0.0719
170000  0.7929  18  6.1667  79.2007  0.0792
180000  0.8071  17  6.6471  86.2523  0.0863
190000  0.8357  20  5.8500  74.3233  0.0743
200000  0.7786  19  5.7368  71.2330  0.0712
210000  0.8143  18  6.3333  80.9385  0.0809
220000  0.8357  16  7.3125  95.7334  0.0957
230000  0.8357  14  8.3571  111.4514  0.1115
240000  0.7786  13  8.3846  110.0148  0.1100
250000  0.7929  14  7.9286  102.7134  0.1027
260000  0.8143  14  8.1429  106.6244  0.1066
270000  0.8500  15  7.9333  104.5677  0.1046
280000  0.8857  13  9.5385  129.3254  0.1293
290000  0.8643  14  8.6429  115.0882  0.1151
300000  0.8429  14  8.4286  110.3247  0.1103
310000  0.8786  13  9.4615  127.3251  0.1273
320000  0.9071  10  12.7000  175.4113  0.1754
330000  0.9286  10  13.0000  179.9908  0.1800
340000  0.9286  9  14.4444  200.6732  0.2007
350000  0.9143  9  14.2222  196.2343  0.1962
360000  0.9286  10  13.0000  178.5297  0.1785
370000  0.9357  8  16.3750  229.1241  0.2291
380000  0.9429  6  22.0000  314.1097  0.3141
390000  0.9000  8  15.7500  217.4858  0.2175
400000  0.9000  10  12.6000  169.4068  0.1694
410000  0.9000  8  15.7500  217.4917  0.2175
420000  0.9429  7  18.8571  264.7506  0.2648
430000  0.9500  8  16.6250  231.0076  0.2310
440000  0.9571  8  16.7500  230.7328  0.2307
450000  0.9500  8  16.6250  228.3724  0.2284
460000  0.9571  8  16.7500  230.6924  0.2307
470000  0.9643  4  33.7500  482.3514  0.4824
480000  0.9714  4  34.0000  485.0401  0.4850
490000  0.9571  5  26.8000  374.2975  0.3743
500000  0.9429  7  18.8571  256.2956  0.2563
510000  0.9571  5  26.8000  374.4289  0.3744
520000  0.9643  2  67.5000  971.7897  0.9718
530000  0.9786  3  45.6667  649.1324  0.6491
540000  0.9857  3  46.0000  651.3032  0.6513
550000  0.9857  3  46.0000  650.9104  0.6509
560000  0.9857  3  46.0000  651.5278  0.6515
570000  0.9786  2  68.5000  983.8883  0.9839
580000  0.9786  2  68.5000  993.4153  0.9934
590000  0.9786  4  34.2500  484.9908  0.4850
600000  0.9786  5  27.4000  378.9022  0.3789
610000  0.9786  4  34.2500  485.0996  0.4851
620000  0.9857  2  69.0000  988.7399  0.9887
630000  0.9857  2  69.0000  988.4670  0.9885
640000  0.9929  2  69.5000  984.0460  0.9840
650000  0.9929  3  46.3333  648.6911  0.6487
660000  0.9929  2  69.5000  984.0521  0.9841
670000  0.9929  2  69.5000  1001.0721  1.0011
680000  0.9929  2  69.5000  990.1141  0.9901
690000  0.9929  3  46.3333  651.6467  0.6516
700000  0.9929  5  27.8000  381.9838  0.3820
710000  0.9929  3  46.3333  651.7428  0.6517
720000  0.9929  2  69.5000  989.6371  0.9896
730000  1.0000  2  70.0000  1000.7076  1.0007
740000  1.0000  2  70.0000  999.7112  0.9997
750000  1.0000  2  70.0000  988.6824  0.9887
760000  1.0000  2  70.0000  989.5906  0.9896
770000  1.0000  2  70.0000  1000.5049  1.0005
780000  1.0000  2  70.0000  1000.3964  1.0004
790000  1.0000  3  46.6667  658.6349  0.6586
800000  1.0000  4  35.0000  488.0523  0.4881
810000  1.0000  3  46.6667  651.7540  0.6518
820000  1.0000  2  70.0000  1000.3685  1.0004
830000  1.0000  2  70.0000  1000.2852  1.0003
840000  1.0000  2  70.0000  989.1365  0.9891
850000  1.0000  2  70.0000  978.1296  0.9781
860000  1.0000  2  70.0000  989.5074  0.9895
870000  1.0000  2  70.0000  1000.3135  1.0003
880000  1.0000  2  70.0000  1000.2816  1.0003
890000  1.0000  3  46.6667  658.5338  0.6585
900000  1.0000  4  35.0000  488.0080  0.4880
910000  1.0000  3  46.6667  651.6143  0.6516
920000  1.0000  2  70.0000  1000.3235  1.0003
930000  1.0000  2  70.0000  1000.2586  1.0003
940000  1.0000  2  70.0000  989.2772  0.9893
950000  1.0000  2  70.0000  978.2624  0.9783
960000  1.0000  2  70.0000  989.6619  0.9897
970000  1.0000  2  70.0000  1000.3080  1.0003
980000  1.0000  2  70.0000  1000.2767  1.0003
990000  1.0000  3  46.6667  658.4947  0.6585
1000000  1.0000  3  46.6667  657.6732  0.6577
1010000  1.0000  3  46.6667  651.5443  0.6515
1020000  1.0000  2  70.0000  1000.3243  1.0003
1030000  1.0000  2  70.0000  1000.2595  1.0003
1040000  1.0000  2  70.0000  989.3962  0.9894
1050000  1.0000  2  70.0000  978.3773  0.9784
1060000  1.0000  2  70.0000  989.7933  0.9898
1070000  1.0000  2  70.0000  1000.3166  1.0003
1080000  1.0000  2  70.0000  1000.2844  1.0003
1090000  1.0000  3  46.6667  658.4809  0.6585
1100000  1.0000  3  46.6667  657.6591  0.6577
1110000  1.0000  3  46.6667  651.4998  0.6515
1120000  1.0000  2  70.0000  1000.3328  1.0003
1130000  1.0000  2  70.0000  1000.2673  1.0003
1140000  1.0000  2  70.0000  989.4734  0.9895
1150000  1.0000  4  35.0000  478.7192  0.4787
1160000  1.0000  2  70.0000  989.8835  0.9899
1170000  1.0000  2  70.0000  1000.3280  1.0003
1180000  1.0000  2  70.0000  1000.2941  1.0003
1190000  1.0000  3  46.6667  658.4849  0.6585
1200000  1.0000  3  46.6667  657.6659  0.6577
1210000  1.0000  3  46.6667  651.4780  0.6515
1220000  1.0000  2  70.0000  1000.3459  1.0003
1230000  1.0000  2  70.0000  1000.2771  1.0003
1240000  1.0000  2  70.0000  989.5645  0.9896
1250000  1.0000  4  35.0000  478.7335  0.4787
1260000  1.0000  2  70.0000  1000.4110  1.0004
1270000  1.0000  2  70.0000  1000.3401  1.0003
1280000  1.0000  2  70.0000  1000.3066  1.0003
1290000  1.0000  3  46.6667  658.4933  0.6585
1300000  1.0000  3  46.6667  657.6771  0.6577
1310000  1.0000  3  46.6667  651.4634  0.6515
1320000  1.0000  2  70.0000  989.8580  0.9899
1330000  1.0000  2  70.0000  1000.2888  1.0003
1340000  1.0000  2  70.0000  989.6516  0.9897
1350000  1.0000  4  35.0000  478.7576  0.4788
1360000  1.0000  2  70.0000  1000.4243  1.0004
1370000  1.0000  2  70.0000  1000.3537  1.0004
1380000  1.0000  2  70.0000  989.7805  0.9898
1390000  1.0000  3  46.6667  651.4918  0.6515
1400000  1.0000  3  46.6667  657.6912  0.6577
1410000  1.0000  3  46.6667  651.4501  0.6515
1420000  1.0000  2  70.0000  989.8032  0.9898
1430000  1.0000  2  70.0000  1000.2995  1.0003
1440000  1.0000  2  70.0000  989.7229  0.9897
1450000  1.0000  4  35.0000  478.7785  0.4788
1460000  1.0000  2  70.0000  1000.4345  1.0004
1470000  1.0000  2  70.0000  1000.3644  1.0004
1480000  1.0000  2  70.0000  989.7416  0.9897
1490000  1.0000  3  46.6667  651.4802  0.6515
1500000  1.0000  3  46.6667  657.6871  0.6577
1510000  1.0000  3  46.6667  651.4373  0.6514
1520000  1.0000  2  70.0000  989.7587  0.9898
1530000  1.0000  2  70.0000  1000.3107  1.0003
1540000  1.0000  2  70.0000  989.8000  0.9898
1550000  1.0000  4  35.0000  478.8087  0.4788
1560000  1.0000  2  70.0000  1000.4457  1.0004
1570000  1.0000  2  70.0000  1000.3743  1.0004
1580000  1.0000  2  70.0000  989.7024  0.9897
1590000  1.0000  3  46.6667  651.4677  0.6515
1600000  1.0000  3  46.6667  657.6733  0.6577
1610000  1.0000  3  46.6667  651.4260  0.6514
1620000  1.0000  2  70.0000  989.7230  0.9897
1630000  1.0000  2  70.0000  1000.3205  1.0003
1640000  1.0000  2  70.0000  989.8783  0.9899
1650000  1.0000  4  35.0000  478.8427  0.4788
1660000  1.0000  2  70.0000  1000.4546  1.0005
1670000  1.0000  2  70.0000  1000.3834  1.0004
1680000  1.0000  2  70.0000  989.6722  0.9897
1690000  1.0000  3  46.6667  651.4608  0.6515
1700000  1.0000  3  46.6667  657.6609  0.6577
1710000  1.0000  3  46.6667  651.4203  0.6514
1720000  1.0000  2  70.0000  989.6899  0.9897
1730000  1.0000  2  70.0000  1000.3306  1.0003
1740000  1.0000  2  70.0000  1000.4270  1.0004
1750000  1.0000  4  35.0000  478.8685  0.4789
1760000  1.0000  2  70.0000  1000.4619  1.0005
1770000  1.0000  2  70.0000  1000.3917  1.0004
1780000  1.0000  2  70.0000  989.6418  0.9896
1790000  1.0000  3  46.6667  651.4531  0.6515
1800000  1.0000  3  46.6667  657.6738  0.6577
1810000  1.0000  3  46.6667  651.4149  0.6514
1820000  1.0000  2  70.0000  989.6530  0.9897
1830000  1.0000  2  70.0000  1000.3431  1.0003
1840000  1.0000  2  70.0000  1000.4386  1.0004
1850000  1.0000  4  35.0000  478.8843  0.4789
1860000  1.0000  2  70.0000  1000.4720  1.0005
1870000  1.0000  2  70.0000  1000.4008  1.0004
1880000  1.0000  2  70.0000  989.6146  0.9896
1890000  1.0000  3  46.6667  651.4476  0.6514
1900000  1.0000  3  46.6667  653.3688  0.6534
1910000  1.0000  3  46.6667  651.4102  0.6514
1920000  1.0000  2  70.0000  989.6204  0.9896
1930000  1.0000  2  70.0000  1000.3593  1.0004
1940000  1.0000  2  70.0000  1000.4555  1.0005
1950000  1.0000  4  35.0000  478.8983  0.4789
1960000  1.0000  2  70.0000  1000.4890  1.0005
1970000  1.0000  2  70.0000  1000.4147  1.0004
1980000  1.0000  2  70.0000  989.5899  0.9896
1990000  1.0000  3  46.6667  651.4298  0.6514
2000000  1.0000  3  46.6667  653.3558  0.6534
