 0  0  6.00   896.05   0.200   0.341   2.758   330.5487    10.7953    37.2775   0.024650   0.000095  -0.000584
 0  0  6.00   896.28   0.200   0.237   3.922   305.8913    15.3958    41.0749   0.026321  -0.000038   0.000056
 0  0  6.00   896.16   0.200   0.232   6.225   191.8849    12.5156    38.8867   0.026576   0.000005   0.000070
 0  0  6.00   896.24   0.200   0.262   2.404   118.8532    15.6369    37.2668   0.026394  -0.000099   0.000460
 0  0  6.00   896.29   0.200   0.222   2.413   114.9009    14.5426    20.7568   0.024822  -0.000068   0.000125
 0  0  6.00   896.17   0.200   0.307   2.801   231.3252    16.4797    37.1622   0.025930  -0.000157  -0.000381
 0  0  6.00   896.18   0.200   0.292   2.472   397.4001    15.5388    19.5418   0.024124  -0.000041   0.000059
 0  0  6.00   896.21   0.200   0.336   2.824    24.2727    12.9732    15.1000   0.021928   0.000040   0.000087
 1  1  6.00   896.23   0.200   0.274   2.330    88.5596    16.2447    29.1819   0.026225  -0.000029   0.000064
 0  0  6.00   896.23   0.200   0.304   2.545    30.4023    15.0788    51.8342   0.024201  -0.000049  -0.000098
 0  0  6.00   896.41   0.200   0.240   2.235   351.2449    12.7428    48.3042   0.024525   0.000074  -0.000507
 1  1  6.00   896.33   0.200   0.285   2.310    82.1296    12.8748    52.3667   0.023263   0.000044  -0.000008
 0  0  6.00   896.38   0.200   0.092   2.212   255.5820    13.8159    40.5943   0.026306  -0.000057   0.000325
 0  0  6.00   896.19   0.200   0.312   2.623    56.0709    11.8397    51.7225   0.023322   0.000047  -0.000153
 1  1  6.00   896.26   0.200   0.175  91.931    72.9372    14.6992    35.2679   0.026334   0.000029  -0.000234
 0  0  6.00   896.22   0.200   0.274   2.710   333.2780    14.8834    51.5022   0.024017  -0.000028   0.000005
 0  0  6.00   896.22   0.200   0.317   2.653   222.9512    12.3776    53.3737   0.022743   0.000028   0.000048
 0  0  6.00   896.35   0.200   0.183   2.119   273.4313    13.0241    41.7096   0.026351   0.000042   0.000097
 1  1  6.00   896.48   0.200   0.135   1.909    32.9338    13.6218    35.0632   0.026892   0.000036  -0.000068
 1  1  6.00   896.03   0.200   0.276   2.607    17.0204    16.1228    38.6098   0.026104  -0.000007  -0.000225
 0  0  6.00   896.35   0.200   0.118  51.140   341.5956    13.7703    34.8186   0.027405   0.000041  -0.000108
 0  0  6.00   896.20   0.200   0.129  47.717   268.9452    14.4306    32.9957   0.027255  -0.000044   0.000295
 1  1  6.00   896.26   0.200   0.108  70.692   225.1531    13.9868    30.8585   0.026815   0.000014   0.000123
 0  0  6.00   896.27   0.200   0.170   5.009   367.0630    15.0787    37.4984   0.027199   0.000025   0.000247
 1  1  6.00   896.33   0.200   0.254   2.073    48.9225    15.5979    34.3069   0.026722  -0.000066   0.000380
 1  1  6.00   896.34   0.200   0.118   2.095    68.0149    13.5682    31.1829   0.026697   0.000008   0.000173
 1  1  6.00   896.23   0.200   0.159   2.052   210.9075    14.6189    43.5960   0.026388  -0.000025   0.000116
 1  1  6.00   896.24   0.200   0.221   4.600    88.2764    13.9091    48.4914   0.025365  -0.000010  -0.000173
 1  1  6.00   896.31   0.200   0.201   2.295    28.2073    13.9618    49.7328   0.024889  -0.000047   0.000001
 1  1  6.00   896.35   0.200   0.199   2.082   103.3606    14.2264    48.3424   0.025222  -0.000049  -0.000341
 1  1  6.00   896.25   0.200   0.122   2.494   390.8616    14.0312    39.4455   0.026883   0.000044  -0.000000
 1  1  6.00   896.30   0.200   0.206   2.029   118.4074    13.0041    37.6683   0.026964   0.000060   0.000320
 1  1  6.00   896.25   0.200   0.229   2.380   201.1534    12.6280    39.5830   0.026447  -0.000071  -0.000088
 0  0  6.00   896.27   0.200   0.258   2.338   332.6773    14.0836    51.3741   0.024260   0.000012   0.000042
 0  0  6.00   896.25   0.200   0.231   3.236   241.0966    13.7834    48.8398   0.025302   0.000018  -0.000214
 1  1  6.00   896.27   0.200   0.180  63.486     6.5265    13.8486    38.8742   0.026417  -0.000173  -0.000041
 1  1  6.00   896.24   0.200   0.133 101.183   176.5767    14.0528    37.6524   0.026707  -0.000007  -0.000045
 1  1  6.00   896.45   0.200   0.083   2.094   158.8143    14.1389    37.0616   0.026995  -0.000038  -0.000002
 1  1  6.00   896.27   0.200   0.162   6.314    99.3850    14.9590    37.0123   0.027207   0.000001   0.000243
 0  0  6.00   896.16   0.200   0.126  58.865    24.1586    13.6873    33.2983   0.027216   0.000026   0.000241
